,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR,type
1532,0.121,0.236,0.507,0.029,0.079,0.121,0.493,0.193,0.057,0.586,0.414,nonDRNA
1533,0.114,0.221,0.529,0.014,0.1,0.114,0.479,0.157,0.086,0.586,0.414,nonDRNA
1534,0.162,0.215,0.473,0.042,0.097,0.162,0.487,0.239,0.038,0.498,0.502,nonDRNA
1535,0.164,0.206,0.48,0.042,0.095,0.164,0.489,0.239,0.044,0.496,0.504,nonDRNA
1536,0.13,0.203,0.507,0.041,0.07,0.13,0.512,0.222,0.03,0.52,0.48,nonDRNA
1537,0.119,0.235,0.49,0.088,0.119,0.119,0.5,0.259,0.031,0.52,0.48,nonDRNA
1538,0.122,0.22,0.512,0.059,0.083,0.122,0.551,0.21,0.073,0.522,0.478,nonDRNA
1539,0.148,0.1,0.543,0.071,0.11,0.148,0.495,0.252,0.038,0.429,0.571,nonDRNA
1540,0.147,0.245,0.459,0.04,0.09,0.147,0.48,0.231,0.038,0.514,0.486,nonDRNA
1541,0.099,0.165,0.596,0.064,0.071,0.099,0.563,0.187,0.038,0.6,0.4,nonDRNA
1542,0.166,0.206,0.473,0.052,0.086,0.166,0.458,0.232,0.029,0.433,0.567,nonDRNA
1543,0.148,0.212,0.491,0.032,0.106,0.148,0.473,0.205,0.057,0.438,0.562,nonDRNA
1544,0.121,0.211,0.566,0.078,0.07,0.121,0.566,0.238,0.047,0.559,0.441,nonDRNA
1545,0.167,0.104,0.556,0.043,0.071,0.167,0.519,0.229,0.019,0.431,0.569,nonDRNA
1546,0.178,0.211,0.431,0.055,0.06,0.178,0.462,0.274,0.042,0.452,0.548,nonDRNA
1547,0.142,0.211,0.464,0.053,0.07,0.142,0.45,0.225,0.028,0.464,0.536,nonDRNA
1548,0.139,0.152,0.565,0.048,0.061,0.139,0.531,0.203,0.029,0.515,0.485,nonDRNA
1549,0.123,0.268,0.426,0.044,0.038,0.123,0.449,0.214,0.052,0.544,0.456,nonDRNA
1550,0.111,0.333,0.444,0.049,0.062,0.111,0.593,0.16,0.148,0.617,0.383,nonDRNA
1551,0.136,0.159,0.562,0.058,0.092,0.136,0.523,0.219,0.055,0.512,0.488,nonDRNA
1552,0.13,0.24,0.434,0.043,0.104,0.13,0.44,0.232,0.016,0.464,0.536,nonDRNA
1553,0.124,0.174,0.548,0.058,0.108,0.124,0.525,0.22,0.042,0.475,0.525,nonDRNA
1554,0.085,0.197,0.559,0.036,0.083,0.085,0.53,0.141,0.02,0.535,0.465,nonDRNA
1555,0.099,0.185,0.577,0.057,0.084,0.099,0.575,0.183,0.031,0.513,0.487,nonDRNA
1556,0.147,0.174,0.515,0.049,0.078,0.147,0.53,0.241,0.039,0.481,0.519,nonDRNA
1557,0.174,0.157,0.5,0.028,0.112,0.174,0.455,0.236,0.022,0.376,0.624,nonDRNA
1558,0.129,0.191,0.515,0.05,0.103,0.129,0.497,0.244,0.015,0.524,0.476,nonDRNA
1559,0.157,0.185,0.509,0.056,0.056,0.157,0.463,0.269,0.046,0.574,0.426,nonDRNA
1560,0.132,0.224,0.452,0.034,0.093,0.132,0.456,0.238,0.057,0.496,0.504,nonDRNA
1561,0.224,0.155,0.495,0.061,0.036,0.224,0.415,0.339,0.022,0.513,0.487,nonDRNA
1562,0.117,0.158,0.584,0.051,0.081,0.117,0.53,0.202,0.037,0.552,0.448,nonDRNA
1563,0.121,0.157,0.585,0.049,0.075,0.121,0.533,0.202,0.041,0.525,0.475,nonDRNA
1564,0.113,0.158,0.532,0.044,0.108,0.113,0.552,0.222,0.01,0.507,0.493,nonDRNA
1565,0.142,0.208,0.478,0.066,0.101,0.142,0.462,0.255,0.041,0.526,0.474,nonDRNA
1566,0.109,0.229,0.536,0.051,0.085,0.109,0.539,0.177,0.024,0.474,0.526,nonDRNA
1567,0.133,0.168,0.519,0.063,0.088,0.133,0.53,0.225,0.06,0.481,0.519,nonDRNA
1568,0.144,0.191,0.502,0.061,0.083,0.144,0.469,0.245,0.032,0.502,0.498,nonDRNA
1569,0.157,0.236,0.431,0.042,0.125,0.157,0.421,0.236,0.037,0.463,0.537,nonDRNA
1570,0.097,0.255,0.49,0.045,0.097,0.097,0.517,0.203,0.017,0.597,0.403,nonDRNA
1571,0.179,0.234,0.469,0.083,0.09,0.179,0.497,0.303,0.069,0.531,0.469,nonDRNA
1572,0.086,0.18,0.657,0.049,0.181,0.086,0.628,0.166,0.03,0.466,0.534,nonDRNA
1573,0.101,0.257,0.468,0.009,0.092,0.101,0.468,0.128,0.018,0.523,0.477,nonDRNA
1574,0.102,0.165,0.5,0.028,0.108,0.102,0.483,0.153,0.028,0.477,0.523,nonDRNA
1575,0.085,0.188,0.558,0.053,0.091,0.085,0.571,0.197,0.041,0.514,0.486,nonDRNA
1576,0.185,0.202,0.379,0.008,0.089,0.185,0.427,0.266,0.024,0.355,0.645,nonDRNA
1577,0.154,0.187,0.463,0.033,0.024,0.154,0.472,0.276,0.008,0.512,0.488,nonDRNA
1578,0.119,0.195,0.529,0.052,0.076,0.119,0.527,0.201,0.034,0.523,0.477,nonDRNA
1579,0.138,0.225,0.483,0.055,0.133,0.138,0.491,0.229,0.032,0.466,0.534,nonDRNA
1580,0.136,0.227,0.483,0.055,0.133,0.136,0.492,0.227,0.032,0.466,0.534,nonDRNA
1581,0.157,0.177,0.504,0.044,0.085,0.157,0.491,0.234,0.013,0.437,0.563,nonDRNA
1582,0.137,0.19,0.482,0.037,0.066,0.137,0.468,0.222,0.022,0.524,0.476,nonDRNA
1583,0.147,0.205,0.469,0.037,0.084,0.147,0.473,0.22,0.026,0.432,0.568,nonDRNA
1584,0.123,0.204,0.527,0.068,0.067,0.123,0.535,0.213,0.02,0.567,0.433,nonDRNA
1585,0.176,0.083,0.481,0.037,0.102,0.176,0.491,0.25,0.065,0.333,0.667,nonDRNA
1586,0.129,0.232,0.441,0.049,0.056,0.129,0.439,0.249,0.034,0.541,0.459,nonDRNA
1587,0.167,0.167,0.486,0.028,0.069,0.167,0.5,0.236,0.056,0.486,0.514,nonDRNA
1588,0.176,0.181,0.452,0.024,0.105,0.176,0.462,0.252,0.024,0.424,0.576,nonDRNA
1589,0.162,0.2,0.473,0.081,0.108,0.162,0.469,0.288,0.035,0.504,0.496,nonDRNA
1590,0.165,0.188,0.492,0.085,0.108,0.165,0.477,0.285,0.035,0.5,0.5,nonDRNA
1591,0.126,0.178,0.535,0.054,0.07,0.126,0.498,0.215,0.028,0.509,0.491,nonDRNA
1592,0.09,0.158,0.573,0.032,0.072,0.09,0.537,0.169,0.043,0.553,0.447,nonDRNA
1593,0.146,0.193,0.48,0.035,0.146,0.146,0.468,0.199,0.064,0.392,0.608,nonDRNA
1594,0.272,0.147,0.478,0.044,0.103,0.272,0.463,0.338,0.007,0.441,0.559,nonDRNA
1595,0.14,0.187,0.491,0.035,0.146,0.14,0.485,0.193,0.064,0.392,0.608,nonDRNA
1596,0.127,0.275,0.441,0.039,0.059,0.127,0.402,0.245,0.02,0.539,0.461,nonDRNA
1597,0.135,0.187,0.494,0.052,0.12,0.135,0.506,0.213,0.041,0.438,0.562,nonDRNA
1598,0.088,0.137,0.604,0.044,0.121,0.088,0.549,0.159,0.022,0.511,0.489,nonDRNA
1599,0.144,0.164,0.486,0.042,0.137,0.144,0.446,0.235,0.024,0.448,0.552,nonDRNA
1600,0.136,0.148,0.553,0.06,0.112,0.136,0.512,0.22,0.036,0.474,0.526,nonDRNA
1601,0.117,0.157,0.522,0.039,0.058,0.117,0.508,0.203,0.023,0.537,0.463,nonDRNA
1602,0.143,0.155,0.54,0.033,0.087,0.143,0.49,0.197,0.042,0.454,0.546,nonDRNA
1603,0.182,0.204,0.436,0.029,0.101,0.182,0.447,0.267,0.031,0.417,0.583,nonDRNA
1604,0.126,0.325,0.378,0.037,0.101,0.126,0.422,0.256,0.008,0.565,0.435,nonDRNA
1605,0.13,0.284,0.431,0.049,0.098,0.13,0.464,0.265,0.01,0.591,0.409,nonDRNA
1606,0.147,0.227,0.479,0.031,0.049,0.147,0.515,0.227,0.086,0.521,0.479,nonDRNA
1607,0.136,0.166,0.537,0.039,0.058,0.136,0.521,0.202,0.036,0.518,0.482,nonDRNA
1608,0.135,0.213,0.471,0.065,0.065,0.135,0.516,0.258,0.058,0.432,0.568,nonDRNA
1609,0.113,0.241,0.487,0.06,0.118,0.113,0.47,0.216,0.033,0.505,0.495,nonDRNA
1610,0.129,0.197,0.519,0.034,0.095,0.129,0.47,0.227,0.034,0.527,0.473,nonDRNA
1611,0.106,0.246,0.496,0.043,0.078,0.106,0.492,0.185,0.025,0.488,0.512,nonDRNA
1612,0.107,0.187,0.536,0.041,0.063,0.107,0.519,0.209,0.027,0.549,0.451,nonDRNA
1613,0.058,0.311,0.534,0.058,0.097,0.058,0.529,0.16,0.068,0.68,0.32,nonDRNA
1614,0.115,0.245,0.491,0.035,0.115,0.115,0.528,0.198,0.064,0.54,0.46,nonDRNA
1615,0.141,0.192,0.476,0.039,0.094,0.141,0.485,0.215,0.037,0.432,0.568,nonDRNA
1616,0.113,0.153,0.533,0.027,0.06,0.113,0.5,0.193,0.053,0.493,0.507,nonDRNA
1617,0.138,0.217,0.47,0.032,0.108,0.138,0.473,0.213,0.034,0.443,0.557,nonDRNA
1618,0.128,0.249,0.464,0.035,0.108,0.128,0.466,0.202,0.052,0.516,0.484,nonDRNA
1619,0.098,0.171,0.529,0.052,0.089,0.098,0.563,0.217,0.073,0.566,0.434,nonDRNA
1620,0.159,0.199,0.453,0.022,0.074,0.159,0.452,0.204,0.04,0.446,0.554,nonDRNA
1621,0.093,0.187,0.598,0.075,0.084,0.093,0.579,0.215,0.056,0.551,0.449,nonDRNA
1622,0.151,0.172,0.485,0.038,0.103,0.151,0.484,0.248,0.035,0.451,0.549,nonDRNA
1623,0.115,0.221,0.515,0.033,0.048,0.115,0.524,0.2,0.027,0.582,0.418,nonDRNA
1624,0.078,0.279,0.498,0.069,0.099,0.078,0.534,0.214,0.032,0.618,0.382,nonDRNA
1625,0.126,0.204,0.533,0.066,0.116,0.126,0.521,0.218,0.047,0.474,0.526,nonDRNA
1626,0.124,0.168,0.564,0.047,0.031,0.124,0.568,0.214,0.058,0.579,0.421,nonDRNA
1627,0.102,0.2,0.569,0.049,0.077,0.102,0.523,0.175,0.018,0.572,0.428,nonDRNA
1628,0.148,0.167,0.505,0.043,0.101,0.148,0.488,0.231,0.041,0.469,0.531,nonDRNA
1629,0.104,0.313,0.496,0.052,0.067,0.104,0.526,0.194,0.041,0.608,0.392,nonDRNA
1630,0.166,0.107,0.585,0.059,0.068,0.166,0.546,0.229,0.054,0.444,0.556,nonDRNA
1631,0.152,0.202,0.455,0.02,0.071,0.152,0.485,0.222,0.061,0.434,0.566,nonDRNA
1632,0.171,0.216,0.437,0.015,0.07,0.171,0.472,0.211,0.045,0.457,0.543,nonDRNA
1633,0.145,0.158,0.507,0.046,0.046,0.145,0.395,0.25,0.033,0.586,0.414,nonDRNA
1634,0.193,0.245,0.378,0.024,0.092,0.193,0.406,0.253,0.04,0.382,0.618,nonDRNA
1635,0.39,0.153,0.373,0.051,0.051,0.39,0.39,0.508,0.017,0.458,0.542,nonDRNA
1636,0.098,0.226,0.556,0.079,0.079,0.098,0.545,0.211,0.019,0.5,0.5,nonDRNA
1637,0.185,0.16,0.487,0.059,0.109,0.185,0.487,0.261,0.034,0.42,0.58,nonDRNA
1638,0.131,0.168,0.518,0.047,0.079,0.131,0.513,0.209,0.058,0.518,0.482,nonDRNA
1639,0.118,0.171,0.558,0.059,0.071,0.118,0.522,0.206,0.035,0.569,0.431,nonDRNA
1640,0.11,0.157,0.59,0.058,0.061,0.11,0.541,0.206,0.041,0.602,0.398,nonDRNA
1641,0.109,0.167,0.568,0.049,0.064,0.109,0.541,0.21,0.046,0.556,0.444,nonDRNA
1642,0.157,0.237,0.455,0.077,0.059,0.157,0.444,0.259,0.033,0.496,0.504,nonDRNA
1643,0.149,0.248,0.461,0.051,0.113,0.149,0.457,0.265,0.03,0.554,0.446,nonDRNA
1644,0.147,0.248,0.461,0.051,0.113,0.147,0.457,0.265,0.03,0.556,0.444,nonDRNA
1645,0.121,0.229,0.46,0.049,0.131,0.121,0.456,0.22,0.047,0.493,0.507,nonDRNA
1646,0.151,0.157,0.53,0.051,0.093,0.151,0.515,0.229,0.045,0.467,0.533,nonDRNA
1647,0.164,0.198,0.449,0.01,0.101,0.164,0.459,0.232,0.043,0.449,0.551,nonDRNA
1648,0.145,0.19,0.511,0.06,0.08,0.145,0.514,0.234,0.037,0.546,0.454,nonDRNA
1649,0.078,0.216,0.471,0.069,0.093,0.078,0.495,0.225,0.039,0.549,0.451,nonDRNA
1650,0.124,0.166,0.546,0.041,0.056,0.124,0.517,0.217,0.032,0.512,0.488,nonDRNA
1651,0.134,0.138,0.541,0.056,0.095,0.134,0.469,0.22,0.033,0.498,0.502,nonDRNA
1652,0.139,0.187,0.507,0.057,0.075,0.139,0.495,0.234,0.04,0.542,0.458,nonDRNA
1653,0.093,0.167,0.481,0.093,0.111,0.093,0.481,0.204,0.093,0.556,0.444,nonDRNA
1654,0.134,0.17,0.508,0.041,0.078,0.134,0.497,0.207,0.059,0.491,0.509,nonDRNA
1655,0.325,0.137,0.427,0.051,0.094,0.325,0.444,0.393,0.068,0.282,0.718,nonDRNA
1656,0.135,0.153,0.502,0.054,0.101,0.135,0.493,0.241,0.038,0.468,0.532,nonDRNA
1657,0.156,0.199,0.464,0.016,0.075,0.156,0.486,0.193,0.037,0.458,0.542,nonDRNA
1658,0.116,0.167,0.571,0.057,0.077,0.116,0.506,0.201,0.026,0.553,0.447,nonDRNA
1659,0.176,0.207,0.473,0.085,0.074,0.176,0.495,0.309,0.053,0.489,0.511,nonDRNA
1660,0.128,0.255,0.433,0.053,0.077,0.128,0.469,0.227,0.043,0.518,0.482,nonDRNA
1661,0.099,0.221,0.566,0.099,0.062,0.099,0.588,0.214,0.031,0.632,0.368,nonDRNA
1662,0.114,0.217,0.54,0.034,0.103,0.114,0.468,0.175,0.042,0.544,0.456,nonDRNA
1663,0.125,0.224,0.521,0.03,0.103,0.125,0.456,0.179,0.038,0.544,0.456,nonDRNA
1664,0.144,0.189,0.501,0.055,0.065,0.144,0.506,0.238,0.038,0.499,0.501,nonDRNA
1665,0.136,0.196,0.497,0.075,0.131,0.136,0.487,0.246,0.035,0.457,0.543,nonDRNA
1666,0.178,0.112,0.538,0.03,0.071,0.178,0.509,0.237,0.041,0.479,0.521,nonDRNA
1667,0.149,0.216,0.459,0.041,0.093,0.149,0.484,0.231,0.049,0.443,0.557,nonDRNA
1668,0.146,0.16,0.521,0.061,0.085,0.146,0.512,0.239,0.014,0.526,0.474,nonDRNA
1669,0.121,0.164,0.557,0.05,0.075,0.121,0.543,0.196,0.032,0.564,0.436,nonDRNA
1670,0.116,0.253,0.478,0.056,0.095,0.116,0.514,0.214,0.057,0.536,0.464,nonDRNA
1671,0.141,0.183,0.512,0.07,0.094,0.141,0.507,0.239,0.019,0.502,0.498,nonDRNA
1672,0.146,0.127,0.552,0.08,0.085,0.146,0.538,0.264,0.019,0.481,0.519,nonDRNA
1673,0.092,0.08,0.73,0.052,0.052,0.092,0.649,0.167,0.034,0.557,0.443,nonDRNA
1674,0.15,0.223,0.488,0.106,0.041,0.15,0.47,0.284,0.031,0.541,0.459,nonDRNA
1675,0.149,0.113,0.553,0.043,0.085,0.149,0.532,0.227,0.043,0.496,0.504,nonDRNA
1676,0.145,0.265,0.444,0.034,0.085,0.145,0.479,0.205,0.085,0.53,0.47,nonDRNA
1677,0.127,0.189,0.478,0.049,0.131,0.127,0.455,0.247,0.028,0.461,0.539,nonDRNA
1678,0.134,0.169,0.53,0.052,0.101,0.134,0.462,0.24,0.022,0.549,0.451,nonDRNA
1679,0.133,0.233,0.428,0.045,0.149,0.133,0.45,0.24,0.034,0.462,0.538,nonDRNA
1680,0.121,0.181,0.547,0.058,0.082,0.121,0.552,0.225,0.038,0.484,0.516,nonDRNA
1681,0.122,0.255,0.504,0.079,0.119,0.122,0.516,0.266,0.051,0.49,0.51,nonDRNA
1682,0.133,0.171,0.504,0.029,0.043,0.133,0.478,0.209,0.023,0.403,0.597,nonDRNA
1683,0.145,0.34,0.384,0.025,0.082,0.145,0.478,0.201,0.057,0.642,0.358,nonDRNA
1684,0.135,0.191,0.525,0.07,0.103,0.135,0.541,0.241,0.052,0.455,0.545,nonDRNA
1685,0.136,0.171,0.49,0.043,0.074,0.136,0.494,0.233,0.035,0.49,0.51,nonDRNA
1686,0.131,0.194,0.5,0.059,0.14,0.131,0.477,0.248,0.005,0.464,0.536,nonDRNA
1687,0.131,0.245,0.482,0.057,0.124,0.131,0.479,0.227,0.05,0.507,0.493,nonDRNA
1688,0.142,0.225,0.444,0.035,0.114,0.142,0.462,0.215,0.038,0.437,0.563,nonDRNA
1689,0.134,0.182,0.522,0.053,0.11,0.134,0.545,0.234,0.043,0.431,0.569,nonDRNA
1690,0.139,0.182,0.517,0.053,0.11,0.139,0.545,0.239,0.043,0.435,0.565,nonDRNA
1691,0.184,0.232,0.401,0.054,0.069,0.184,0.452,0.277,0.063,0.494,0.506,nonDRNA
1692,0.172,0.155,0.489,0.029,0.069,0.172,0.466,0.224,0.046,0.339,0.661,nonDRNA
1693,0.147,0.2,0.519,0.047,0.093,0.147,0.495,0.23,0.042,0.509,0.491,nonDRNA
1694,0.135,0.207,0.476,0.06,0.117,0.135,0.458,0.255,0.037,0.515,0.485,nonDRNA
1695,0.142,0.192,0.536,0.054,0.063,0.142,0.529,0.228,0.052,0.546,0.454,nonDRNA
1696,0.154,0.203,0.501,0.04,0.09,0.154,0.485,0.234,0.045,0.487,0.513,nonDRNA
1697,0.126,0.204,0.542,0.04,0.053,0.126,0.509,0.196,0.043,0.564,0.436,nonDRNA
1698,0.08,0.157,0.672,0.055,0.186,0.08,0.58,0.168,0.029,0.489,0.511,nonDRNA
1699,0.111,0.194,0.556,0.052,0.083,0.111,0.535,0.202,0.043,0.57,0.43,nonDRNA
1700,0.157,0.131,0.581,0.068,0.078,0.157,0.54,0.253,0.028,0.535,0.465,nonDRNA
1701,0.134,0.196,0.507,0.039,0.072,0.134,0.513,0.204,0.052,0.511,0.489,nonDRNA
1702,0.136,0.225,0.463,0.055,0.127,0.136,0.451,0.239,0.037,0.518,0.482,nonDRNA
1703,0.125,0.182,0.514,0.041,0.086,0.125,0.47,0.195,0.027,0.532,0.468,nonDRNA
1704,0.13,0.154,0.583,0.065,0.068,0.13,0.552,0.204,0.034,0.54,0.46,nonDRNA
1705,0.168,0.168,0.473,0.015,0.092,0.168,0.496,0.221,0.053,0.504,0.496,nonDRNA
1706,0.127,0.281,0.393,0.071,0.067,0.127,0.468,0.251,0.056,0.502,0.498,nonDRNA
1707,0.124,0.239,0.447,0.03,0.092,0.124,0.458,0.235,0.046,0.525,0.475,nonDRNA
1708,0.161,0.12,0.552,0.081,0.047,0.161,0.534,0.25,0.042,0.484,0.516,nonDRNA
1709,0.17,0.136,0.5,0.023,0.08,0.17,0.455,0.216,0.034,0.443,0.557,nonDRNA
1710,0.098,0.169,0.592,0.035,0.063,0.098,0.571,0.163,0.031,0.606,0.394,nonDRNA
1711,0.148,0.251,0.46,0.046,0.087,0.148,0.471,0.228,0.038,0.475,0.525,nonDRNA
1712,0.084,0.227,0.539,0.065,0.117,0.084,0.487,0.227,0.013,0.591,0.409,nonDRNA
1713,0.112,0.254,0.478,0.06,0.164,0.112,0.5,0.194,0.082,0.515,0.485,nonDRNA
1714,0.159,0.2,0.509,0.057,0.088,0.159,0.467,0.233,0.051,0.513,0.487,nonDRNA
1715,0.17,0.21,0.466,0.042,0.09,0.17,0.478,0.253,0.024,0.451,0.549,nonDRNA
1716,0.15,0.163,0.497,0.034,0.082,0.15,0.497,0.211,0.041,0.388,0.612,nonDRNA
1717,0.113,0.221,0.53,0.038,0.101,0.113,0.54,0.187,0.042,0.482,0.518,nonDRNA
1718,0.138,0.201,0.464,0.013,0.078,0.138,0.464,0.179,0.028,0.464,0.536,nonDRNA
1719,0.147,0.174,0.535,0.044,0.065,0.147,0.518,0.218,0.032,0.474,0.526,nonDRNA
1720,0.121,0.224,0.491,0.055,0.067,0.121,0.479,0.206,0.03,0.564,0.436,nonDRNA
1721,0.119,0.25,0.472,0.048,0.088,0.119,0.491,0.214,0.063,0.528,0.472,nonDRNA
1722,0.146,0.176,0.526,0.06,0.082,0.146,0.531,0.233,0.037,0.454,0.546,nonDRNA
1723,0.103,0.141,0.638,0.051,0.049,0.103,0.581,0.178,0.027,0.649,0.351,nonDRNA
1724,0.137,0.146,0.54,0.041,0.058,0.137,0.496,0.228,0.05,0.528,0.472,nonDRNA
1725,0.138,0.156,0.545,0.048,0.075,0.138,0.518,0.219,0.033,0.482,0.518,nonDRNA
1726,0.138,0.189,0.484,0.025,0.038,0.138,0.484,0.22,0.05,0.528,0.472,nonDRNA
1727,0.14,0.214,0.517,0.068,0.101,0.14,0.53,0.243,0.033,0.476,0.524,nonDRNA
1728,0.129,0.259,0.408,0.04,0.129,0.129,0.468,0.219,0.04,0.428,0.572,nonDRNA
1729,0.065,0.226,0.645,0.032,0.097,0.065,0.742,0.097,0.032,0.484,0.516,nonDRNA
1730,0.173,0.218,0.446,0.031,0.149,0.173,0.443,0.27,0.038,0.481,0.519,nonDRNA
1731,0.141,0.194,0.467,0.053,0.107,0.141,0.448,0.258,0.019,0.469,0.531,nonDRNA
1732,0.122,0.174,0.542,0.041,0.05,0.122,0.508,0.199,0.017,0.519,0.481,nonDRNA
1733,0.119,0.154,0.556,0.072,0.06,0.119,0.551,0.206,0.042,0.531,0.469,nonDRNA
1734,0.123,0.185,0.563,0.046,0.063,0.123,0.54,0.199,0.04,0.517,0.483,nonDRNA
1735,0.121,0.197,0.536,0.038,0.1,0.121,0.519,0.197,0.046,0.485,0.515,nonDRNA
1736,0.139,0.189,0.517,0.058,0.058,0.139,0.512,0.24,0.038,0.51,0.49,nonDRNA
1737,0.151,0.157,0.536,0.036,0.084,0.151,0.56,0.217,0.048,0.494,0.506,nonDRNA
1738,0.157,0.163,0.529,0.098,0.098,0.157,0.497,0.281,0.026,0.497,0.503,nonDRNA
1739,0.138,0.188,0.514,0.028,0.087,0.138,0.532,0.202,0.023,0.454,0.546,nonDRNA
1740,0.167,0.215,0.451,0.072,0.065,0.167,0.481,0.266,0.031,0.468,0.532,nonDRNA
1741,0.095,0.218,0.539,0.058,0.1,0.095,0.537,0.229,0.008,0.6,0.4,nonDRNA
1742,0.105,0.178,0.53,0.029,0.038,0.105,0.52,0.171,0.036,0.584,0.416,nonDRNA
1743,0.121,0.168,0.585,0.047,0.054,0.121,0.558,0.178,0.035,0.526,0.474,nonDRNA
1744,0.186,0.135,0.474,0.037,0.06,0.186,0.439,0.236,0.014,0.421,0.579,nonDRNA
1745,0.123,0.199,0.516,0.028,0.063,0.123,0.501,0.175,0.037,0.495,0.505,nonDRNA
1746,0.086,0.247,0.395,0.099,0.062,0.086,0.519,0.222,0.123,0.593,0.407,nonDRNA
1747,0.15,0.21,0.451,0.044,0.104,0.15,0.449,0.24,0.05,0.459,0.541,nonDRNA
1748,0.095,0.294,0.492,0.048,0.063,0.095,0.556,0.151,0.103,0.635,0.365,nonDRNA
1749,0.138,0.164,0.545,0.055,0.073,0.138,0.509,0.218,0.015,0.549,0.451,nonDRNA
1750,0.139,0.211,0.476,0.051,0.071,0.139,0.493,0.228,0.078,0.544,0.456,nonDRNA
1751,0.132,0.192,0.496,0.046,0.136,0.132,0.482,0.212,0.05,0.452,0.548,nonDRNA
1752,0.15,0.216,0.445,0.066,0.075,0.15,0.461,0.257,0.041,0.47,0.53,nonDRNA
1753,0.156,0.184,0.427,0.018,0.116,0.156,0.418,0.251,0.064,0.462,0.538,nonDRNA
1754,0.093,0.299,0.423,0.021,0.072,0.093,0.392,0.155,0.031,0.381,0.619,nonDRNA
1755,0.101,0.162,0.615,0.048,0.057,0.101,0.574,0.171,0.032,0.579,0.421,nonDRNA
1756,0.149,0.201,0.494,0.032,0.026,0.149,0.403,0.221,0.039,0.591,0.409,nonDRNA
1757,0.176,0.194,0.394,0.005,0.083,0.176,0.412,0.273,0.019,0.458,0.542,nonDRNA
1758,0.118,0.18,0.513,0.059,0.127,0.118,0.519,0.221,0.044,0.525,0.475,nonDRNA
1759,0.085,0.171,0.665,0.053,0.174,0.085,0.619,0.164,0.039,0.473,0.527,nonDRNA
1760,0.117,0.189,0.583,0.058,0.068,0.117,0.553,0.209,0.049,0.612,0.388,nonDRNA
1761,0.139,0.201,0.485,0.043,0.113,0.139,0.491,0.218,0.045,0.472,0.528,nonDRNA
1762,0.106,0.325,0.431,0.033,0.065,0.106,0.545,0.179,0.195,0.585,0.415,nonDRNA
1763,0.176,0.184,0.448,0.056,0.112,0.176,0.464,0.312,0.048,0.44,0.56,nonDRNA
1764,0.124,0.217,0.496,0.045,0.11,0.124,0.48,0.212,0.033,0.494,0.506,nonDRNA
1765,0.143,0.18,0.51,0.047,0.078,0.143,0.487,0.237,0.044,0.505,0.495,nonDRNA
1766,0.11,0.155,0.531,0.028,0.052,0.11,0.5,0.183,0.076,0.514,0.486,nonDRNA
1767,0.128,0.203,0.5,0.101,0.095,0.128,0.541,0.277,0.047,0.534,0.466,nonDRNA
1768,0.117,0.176,0.522,0.059,0.117,0.117,0.51,0.22,0.047,0.551,0.449,nonDRNA
1769,0.119,0.235,0.476,0.133,0.071,0.119,0.456,0.31,0.048,0.595,0.405,nonDRNA
1770,0.171,0.205,0.434,0.02,0.061,0.171,0.457,0.225,0.038,0.465,0.535,nonDRNA
1771,0.162,0.199,0.451,0.023,0.066,0.162,0.468,0.223,0.038,0.474,0.526,nonDRNA
1772,0.133,0.165,0.524,0.063,0.07,0.133,0.527,0.229,0.032,0.463,0.537,nonDRNA
1773,0.101,0.251,0.475,0.058,0.042,0.101,0.511,0.194,0.04,0.536,0.464,nonDRNA
1774,0.143,0.181,0.524,0.057,0.092,0.143,0.514,0.238,0.029,0.492,0.508,nonDRNA
1775,0.191,0.203,0.44,0.043,0.105,0.191,0.495,0.286,0.12,0.462,0.538,nonDRNA
1776,0.137,0.196,0.485,0.045,0.1,0.137,0.483,0.229,0.029,0.48,0.52,nonDRNA
1777,0.156,0.171,0.505,0.051,0.079,0.156,0.49,0.241,0.023,0.497,0.503,nonDRNA
1778,0.079,0.151,0.638,0.076,0.03,0.079,0.625,0.204,0.026,0.73,0.27,nonDRNA
1779,0.147,0.257,0.437,0.05,0.087,0.147,0.507,0.24,0.07,0.51,0.49,nonDRNA
1780,0.145,0.158,0.526,0.039,0.099,0.145,0.48,0.217,0.053,0.467,0.533,nonDRNA
1781,0.096,0.318,0.448,0.07,0.095,0.096,0.518,0.222,0.096,0.581,0.419,nonDRNA
1782,0.139,0.152,0.539,0.061,0.079,0.139,0.521,0.23,0.048,0.552,0.448,nonDRNA
1783,0.178,0.233,0.407,0.057,0.063,0.178,0.404,0.266,0.028,0.448,0.552,nonDRNA
1784,0.14,0.192,0.533,0.07,0.096,0.14,0.511,0.253,0.017,0.48,0.52,nonDRNA
1785,0.064,0.218,0.552,0.091,0.113,0.064,0.526,0.217,0.027,0.591,0.409,nonDRNA
1786,0.142,0.216,0.466,0.037,0.087,0.142,0.475,0.223,0.034,0.433,0.567,nonDRNA
1787,0.118,0.19,0.536,0.048,0.093,0.118,0.495,0.215,0.055,0.505,0.495,nonDRNA
1788,0.168,0.195,0.368,0.043,0.091,0.168,0.397,0.342,0.039,0.495,0.505,nonDRNA
