ID,PCP_PC,PCP_PO,PCP_NP,PCP_CY,PCP_AR,PCP_BS,PCP_HB,PCP_HL,PCP_SC,PCP_SM,PCP_LR
Seq_1166,0.145,0.184,0.527,0.03,0.06,0.145,0.503,0.214,0.045,0.497,0.503
Seq_1167,0.133,0.19,0.53,0.036,0.06,0.133,0.503,0.211,0.039,0.509,0.491
Seq_1168,0.176,0.182,0.492,0.072,0.111,0.176,0.476,0.287,0.026,0.423,0.577
Seq_1169,0.13,0.195,0.604,0.053,0.071,0.13,0.598,0.219,0.059,0.473,0.527
Seq_1170,0.102,0.166,0.618,0.071,0.027,0.102,0.55,0.178,0.037,0.564,0.436
Seq_1171,0.134,0.176,0.528,0.031,0.069,0.134,0.517,0.214,0.055,0.493,0.507
Seq_1172,0.122,0.275,0.487,0.053,0.106,0.122,0.503,0.201,0.048,0.492,0.508
Seq_1173,0.12,0.219,0.538,0.056,0.059,0.12,0.518,0.189,0.043,0.528,0.472
Seq_1174,0.132,0.245,0.482,0.067,0.076,0.132,0.477,0.234,0.04,0.516,0.484
Seq_1175,0.135,0.216,0.51,0.052,0.089,0.135,0.518,0.224,0.047,0.497,0.503
Seq_1176,0.149,0.197,0.493,0.041,0.1,0.149,0.491,0.242,0.03,0.462,0.538
Seq_1177,0.149,0.203,0.493,0.039,0.097,0.149,0.493,0.238,0.034,0.466,0.534
Seq_1178,0.147,0.192,0.502,0.043,0.095,0.147,0.495,0.244,0.034,0.464,0.536
Seq_1179,0.115,0.217,0.618,0.051,0.083,0.115,0.592,0.178,0.025,0.58,0.42
Seq_1180,0.135,0.204,0.515,0.04,0.093,0.135,0.494,0.207,0.043,0.482,0.518
Seq_1181,0.111,0.215,0.557,0.043,0.055,0.111,0.542,0.191,0.062,0.554,0.446
Seq_1182,0.18,0.148,0.545,0.063,0.122,0.18,0.519,0.259,0.021,0.429,0.571
Seq_1183,0.12,0.15,0.571,0.087,0.06,0.12,0.571,0.231,0.027,0.592,0.408
Seq_1184,0.114,0.194,0.552,0.06,0.087,0.114,0.542,0.207,0.027,0.572,0.428
Seq_1185,0.18,0.194,0.417,0.015,0.083,0.18,0.413,0.228,0.034,0.456,0.544
Seq_1186,0.136,0.217,0.494,0.065,0.094,0.136,0.491,0.232,0.026,0.511,0.489
Seq_1187,0.107,0.201,0.545,0.067,0.09,0.107,0.538,0.204,0.03,0.565,0.435
Seq_1188,0.17,0.219,0.438,0.036,0.085,0.17,0.468,0.249,0.032,0.475,0.525
Seq_1189,0.171,0.206,0.451,0.035,0.09,0.171,0.476,0.249,0.031,0.467,0.533
Seq_1190,0.14,0.208,0.474,0.059,0.098,0.14,0.506,0.248,0.039,0.441,0.559
Seq_1191,0.132,0.187,0.502,0.074,0.095,0.132,0.511,0.256,0.048,0.496,0.504
Seq_1192,0.201,0.181,0.441,0.064,0.093,0.201,0.456,0.284,0.078,0.495,0.505
Seq_1193,0.109,0.213,0.518,0.044,0.113,0.109,0.484,0.209,0.027,0.559,0.441
Seq_1194,0.133,0.24,0.478,0.053,0.083,0.133,0.503,0.242,0.044,0.555,0.445
Seq_1195,0.166,0.265,0.404,0.057,0.06,0.166,0.435,0.266,0.05,0.517,0.483
Seq_1196,0.148,0.192,0.515,0.067,0.101,0.148,0.485,0.236,0.027,0.512,0.488
Seq_1197,0.153,0.226,0.471,0.051,0.069,0.153,0.493,0.23,0.069,0.469,0.531
Seq_1198,0.185,0.209,0.434,0.071,0.071,0.185,0.495,0.289,0.037,0.48,0.52
Seq_1199,0.098,0.221,0.53,0.066,0.113,0.098,0.522,0.221,0.039,0.52,0.48
Seq_1200,0.168,0.236,0.437,0.059,0.105,0.168,0.448,0.258,0.031,0.461,0.539
Seq_1201,0.153,0.162,0.514,0.056,0.102,0.153,0.514,0.255,0.032,0.5,0.5
Seq_1202,0.131,0.171,0.558,0.06,0.109,0.131,0.522,0.218,0.051,0.493,0.507
Seq_1203,0.181,0.134,0.497,0.054,0.074,0.181,0.53,0.262,0.081,0.47,0.53
Seq_1204,0.127,0.257,0.478,0.061,0.094,0.127,0.509,0.219,0.047,0.498,0.502
Seq_1205,0.129,0.199,0.505,0.016,0.032,0.129,0.489,0.177,0.059,0.57,0.43
Seq_1206,0.139,0.19,0.526,0.047,0.117,0.139,0.489,0.226,0.033,0.442,0.558
Seq_1207,0.151,0.147,0.529,0.054,0.062,0.151,0.544,0.232,0.035,0.483,0.517
Seq_1208,0.11,0.241,0.539,0.068,0.08,0.11,0.567,0.2,0.05,0.569,0.431
Seq_1209,0.107,0.143,0.619,0.143,0.107,0.107,0.571,0.298,0.036,0.583,0.417
Seq_1210,0.132,0.142,0.561,0.039,0.053,0.132,0.535,0.197,0.037,0.484,0.516
Seq_1211,0.127,0.24,0.483,0.04,0.075,0.127,0.492,0.202,0.046,0.531,0.469
Seq_1212,0.138,0.191,0.517,0.077,0.086,0.138,0.526,0.252,0.031,0.495,0.505
Seq_1213,0.136,0.159,0.513,0.052,0.101,0.136,0.487,0.258,0.029,0.539,0.461
Seq_1214,0.102,0.238,0.551,0.027,0.122,0.102,0.497,0.156,0.02,0.585,0.415
Seq_1215,0.084,0.236,0.531,0.037,0.065,0.084,0.556,0.168,0.047,0.581,0.419
Seq_1216,0.11,0.221,0.528,0.043,0.086,0.11,0.472,0.16,0.037,0.515,0.485
Seq_1217,0.131,0.197,0.515,0.049,0.102,0.131,0.502,0.228,0.036,0.524,0.476
Seq_1218,0.131,0.205,0.497,0.046,0.075,0.131,0.476,0.226,0.04,0.524,0.476
Seq_1219,0.163,0.229,0.488,0.12,0.081,0.163,0.496,0.306,0.039,0.504,0.496
Seq_1220,0.113,0.18,0.55,0.054,0.086,0.113,0.518,0.198,0.027,0.523,0.477
Seq_1221,0.105,0.235,0.479,0.059,0.061,0.105,0.485,0.221,0.021,0.561,0.439
Seq_1222,0.168,0.253,0.442,0.069,0.066,0.168,0.455,0.264,0.043,0.526,0.474
Seq_1223,0.119,0.211,0.531,0.067,0.098,0.119,0.515,0.201,0.046,0.485,0.515
Seq_1224,0.126,0.175,0.536,0.071,0.044,0.126,0.486,0.224,0.044,0.59,0.41
Seq_1225,0.169,0.207,0.454,0.044,0.088,0.169,0.47,0.249,0.053,0.446,0.554
Seq_1226,0.147,0.192,0.508,0.061,0.047,0.147,0.487,0.254,0.039,0.556,0.444
Seq_1227,0.231,0.209,0.407,0.022,0.077,0.231,0.429,0.308,0.033,0.429,0.571
Seq_1228,0.075,0.231,0.562,0.062,0.069,0.075,0.55,0.212,0.05,0.612,0.388
Seq_1229,0.094,0.157,0.614,0.067,0.109,0.094,0.532,0.199,0.03,0.577,0.423
Seq_1230,0.13,0.222,0.481,0.054,0.076,0.13,0.471,0.224,0.03,0.539,0.461
Seq_1231,0.149,0.197,0.483,0.053,0.084,0.149,0.495,0.241,0.043,0.497,0.503
Seq_1232,0.123,0.227,0.506,0.044,0.077,0.123,0.517,0.198,0.046,0.531,0.469
Seq_1233,0.149,0.208,0.45,0.024,0.114,0.149,0.43,0.21,0.047,0.458,0.542
Seq_1234,0.106,0.223,0.532,0.049,0.073,0.106,0.512,0.205,0.029,0.597,0.403
Seq_1235,0.113,0.234,0.519,0.042,0.081,0.113,0.487,0.188,0.035,0.556,0.444
Seq_1236,0.172,0.291,0.352,0.027,0.065,0.172,0.448,0.245,0.142,0.464,0.536
Seq_1237,0.138,0.244,0.454,0.032,0.095,0.138,0.454,0.212,0.069,0.496,0.504
Seq_1238,0.135,0.208,0.435,0.061,0.1,0.135,0.435,0.256,0.021,0.441,0.559
Seq_1239,0.126,0.232,0.5,0.035,0.074,0.126,0.516,0.203,0.071,0.519,0.481
Seq_1240,0.129,0.215,0.528,0.037,0.055,0.129,0.546,0.19,0.031,0.571,0.429
Seq_1241,0.128,0.183,0.499,0.051,0.072,0.128,0.501,0.243,0.023,0.529,0.471
Seq_1242,0.075,0.279,0.49,0.061,0.061,0.075,0.558,0.156,0.088,0.612,0.388
Seq_1243,0.118,0.21,0.519,0.054,0.087,0.118,0.492,0.214,0.033,0.502,0.498
Seq_1244,0.151,0.209,0.488,0.064,0.099,0.151,0.477,0.227,0.058,0.488,0.512
Seq_1245,0.134,0.251,0.412,0.05,0.083,0.134,0.448,0.234,0.045,0.482,0.518
Seq_1246,0.159,0.195,0.441,0.056,0.065,0.159,0.44,0.227,0.054,0.468,0.532
Seq_1247,0.155,0.244,0.437,0.056,0.109,0.155,0.44,0.246,0.049,0.431,0.569
Seq_1248,0.13,0.248,0.433,0.055,0.079,0.13,0.465,0.228,0.039,0.45,0.55
Seq_1249,0.186,0.2,0.403,0.027,0.084,0.186,0.446,0.252,0.032,0.426,0.574
Seq_1250,0.186,0.196,0.411,0.03,0.084,0.186,0.448,0.255,0.032,0.423,0.577
Seq_1251,0.157,0.261,0.398,0.047,0.071,0.157,0.44,0.255,0.041,0.514,0.486
Seq_1252,0.123,0.159,0.571,0.061,0.078,0.123,0.54,0.22,0.056,0.524,0.476
Seq_1253,0.161,0.212,0.481,0.049,0.063,0.161,0.465,0.246,0.049,0.519,0.481
Seq_1254,0.146,0.211,0.488,0.046,0.084,0.146,0.482,0.222,0.054,0.512,0.488
Seq_1255,0.149,0.207,0.481,0.052,0.084,0.149,0.478,0.231,0.052,0.5,0.5
Seq_1256,0.14,0.229,0.489,0.041,0.084,0.14,0.493,0.212,0.05,0.537,0.463
Seq_1257,0.141,0.234,0.453,0.049,0.115,0.141,0.47,0.225,0.024,0.448,0.552
Seq_1258,0.079,0.228,0.539,0.041,0.094,0.079,0.446,0.199,0.019,0.644,0.356
Seq_1259,0.142,0.129,0.591,0.069,0.103,0.142,0.522,0.216,0.022,0.461,0.539
Seq_1260,0.11,0.236,0.487,0.037,0.141,0.11,0.445,0.194,0.026,0.503,0.497
Seq_1261,0.157,0.164,0.497,0.044,0.107,0.157,0.484,0.226,0.025,0.465,0.535
Seq_1262,0.157,0.17,0.491,0.044,0.107,0.157,0.478,0.226,0.025,0.472,0.528
Seq_1263,0.146,0.181,0.517,0.073,0.108,0.146,0.498,0.254,0.051,0.489,0.511
Seq_1264,0.142,0.215,0.487,0.066,0.082,0.142,0.503,0.244,0.025,0.503,0.497
Seq_1265,0.104,0.18,0.575,0.054,0.058,0.104,0.55,0.174,0.027,0.59,0.41
Seq_1266,0.119,0.163,0.496,0.052,0.089,0.119,0.519,0.259,0.067,0.556,0.444
Seq_1267,0.111,0.156,0.519,0.044,0.096,0.111,0.504,0.252,0.052,0.563,0.437
Seq_1268,0.111,0.148,0.526,0.052,0.096,0.111,0.519,0.259,0.059,0.585,0.415
Seq_1269,0.114,0.245,0.495,0.063,0.108,0.114,0.533,0.227,0.043,0.553,0.447
Seq_1270,0.113,0.241,0.497,0.06,0.109,0.113,0.534,0.225,0.043,0.552,0.448
Seq_1271,0.109,0.225,0.51,0.03,0.115,0.109,0.535,0.194,0.057,0.539,0.461
Seq_1272,0.151,0.228,0.478,0.063,0.095,0.151,0.493,0.246,0.049,0.473,0.527
Seq_1273,0.155,0.212,0.457,0.034,0.119,0.155,0.473,0.227,0.039,0.463,0.537
Seq_1274,0.09,0.131,0.69,0.034,0.069,0.09,0.655,0.124,0.034,0.552,0.448
Seq_1275,0.133,0.163,0.548,0.072,0.06,0.133,0.488,0.223,0.012,0.608,0.392
Seq_1276,0.087,0.187,0.648,0.053,0.166,0.087,0.615,0.168,0.057,0.488,0.512
Seq_1277,0.16,0.202,0.466,0.053,0.077,0.16,0.463,0.243,0.015,0.427,0.573
Seq_1278,0.086,0.181,0.651,0.056,0.167,0.086,0.613,0.17,0.061,0.486,0.514
Seq_1279,0.16,0.188,0.466,0.034,0.09,0.16,0.458,0.233,0.037,0.461,0.539
Seq_1280,0.143,0.282,0.446,0.098,0.087,0.143,0.459,0.276,0.052,0.529,0.471
Seq_1281,0.119,0.187,0.541,0.052,0.113,0.119,0.494,0.23,0.047,0.565,0.435
Seq_1282,0.148,0.21,0.507,0.048,0.1,0.148,0.485,0.223,0.048,0.415,0.585
Seq_1283,0.147,0.252,0.453,0.043,0.101,0.147,0.489,0.234,0.068,0.511,0.489
Seq_1284,0.156,0.207,0.46,0.054,0.08,0.156,0.472,0.247,0.042,0.471,0.529
Seq_1285,0.165,0.106,0.494,0.024,0.082,0.165,0.447,0.212,0.035,0.482,0.518
Seq_1286,0.194,0.213,0.442,0.043,0.062,0.194,0.428,0.272,0.038,0.487,0.513
Seq_1287,0.194,0.215,0.442,0.043,0.062,0.194,0.428,0.27,0.038,0.487,0.513
Seq_1288,0.155,0.221,0.426,0.04,0.092,0.155,0.452,0.241,0.059,0.508,0.492
Seq_1289,0.116,0.194,0.475,0.086,0.056,0.116,0.465,0.237,0.039,0.541,0.459
Seq_1290,0.145,0.273,0.392,0.051,0.06,0.145,0.449,0.266,0.049,0.508,0.492
Seq_1291,0.136,0.232,0.468,0.044,0.089,0.136,0.5,0.214,0.064,0.433,0.567
Seq_1292,0.11,0.211,0.505,0.044,0.11,0.11,0.486,0.196,0.038,0.492,0.508
Seq_1293,0.172,0.258,0.411,0.043,0.08,0.172,0.368,0.245,0.037,0.479,0.521
Seq_1294,0.167,0.143,0.556,0.056,0.056,0.167,0.484,0.238,0.048,0.484,0.516
Seq_1295,0.175,0.135,0.548,0.056,0.056,0.175,0.476,0.246,0.048,0.484,0.516
Seq_1296,0.109,0.159,0.582,0.053,0.065,0.109,0.536,0.208,0.076,0.568,0.432
Seq_1297,0.158,0.221,0.411,0.042,0.063,0.158,0.411,0.242,0.053,0.453,0.547
Seq_1298,0.149,0.149,0.511,0.054,0.127,0.149,0.484,0.226,0.032,0.394,0.606
Seq_1299,0.156,0.122,0.585,0.034,0.061,0.156,0.544,0.231,0.027,0.503,0.497
Seq_1300,0.156,0.122,0.585,0.034,0.061,0.156,0.544,0.231,0.034,0.497,0.503
Seq_1301,0.147,0.22,0.423,0.038,0.105,0.147,0.448,0.245,0.024,0.476,0.524
Seq_1302,0.097,0.184,0.563,0.036,0.058,0.097,0.574,0.166,0.04,0.603,0.397
Seq_1303,0.17,0.196,0.451,0.032,0.095,0.17,0.462,0.244,0.04,0.419,0.581
Seq_1304,0.13,0.136,0.497,0.045,0.079,0.13,0.48,0.237,0.017,0.508,0.492
Seq_1305,0.146,0.192,0.486,0.053,0.102,0.146,0.489,0.238,0.062,0.44,0.56
Seq_1306,0.1,0.147,0.447,0.007,0.067,0.1,0.44,0.14,0.06,0.447,0.553
Seq_1307,0.127,0.146,0.478,0.032,0.089,0.127,0.465,0.21,0.07,0.465,0.535
Seq_1308,0.127,0.205,0.449,0.056,0.085,0.127,0.452,0.235,0.026,0.529,0.471
Seq_1309,0.148,0.172,0.512,0.033,0.08,0.148,0.5,0.216,0.03,0.562,0.438
Seq_1310,0.127,0.186,0.536,0.045,0.065,0.127,0.519,0.206,0.065,0.522,0.478
Seq_1311,0.146,0.192,0.486,0.053,0.102,0.146,0.489,0.238,0.062,0.44,0.56
Seq_1312,0.155,0.211,0.495,0.038,0.103,0.155,0.497,0.227,0.036,0.497,0.503
Seq_1313,0.173,0.192,0.466,0.045,0.094,0.173,0.463,0.242,0.057,0.406,0.594
Seq_1314,0.118,0.152,0.533,0.037,0.065,0.118,0.508,0.201,0.028,0.526,0.474
Seq_1315,0.128,0.16,0.553,0.047,0.084,0.128,0.514,0.22,0.03,0.526,0.474
Seq_1316,0.128,0.158,0.553,0.047,0.086,0.128,0.514,0.222,0.027,0.521,0.479
Seq_1317,0.113,0.139,0.608,0.055,0.055,0.113,0.553,0.182,0.017,0.546,0.454
Seq_1318,0.131,0.211,0.473,0.055,0.097,0.131,0.456,0.253,0.059,0.498,0.502
Seq_1319,0.117,0.238,0.438,0.057,0.064,0.117,0.445,0.246,0.053,0.565,0.435
Seq_1320,0.13,0.264,0.438,0.019,0.12,0.13,0.452,0.197,0.053,0.452,0.548
Seq_1321,0.146,0.185,0.437,0.046,0.068,0.146,0.46,0.223,0.048,0.494,0.506
Seq_1322,0.115,0.199,0.531,0.058,0.088,0.115,0.5,0.208,0.027,0.504,0.496
Seq_1323,0.115,0.26,0.462,0.053,0.13,0.115,0.462,0.202,0.038,0.534,0.466
Seq_1324,0.104,0.211,0.552,0.053,0.094,0.104,0.545,0.196,0.031,0.509,0.491
Seq_1325,0.112,0.195,0.531,0.036,0.061,0.112,0.527,0.181,0.058,0.527,0.473
Seq_1326,0.112,0.199,0.527,0.036,0.065,0.112,0.531,0.184,0.069,0.542,0.458
Seq_1327,0.133,0.195,0.512,0.047,0.077,0.133,0.503,0.219,0.053,0.547,0.453
Seq_1328,0.107,0.148,0.443,0.013,0.067,0.107,0.443,0.168,0.067,0.477,0.523
Seq_1329,0.107,0.148,0.443,0.013,0.067,0.107,0.443,0.168,0.067,0.47,0.53
Seq_1330,0.127,0.164,0.547,0.034,0.057,0.127,0.527,0.196,0.042,0.556,0.444
Seq_1331,0.159,0.15,0.513,0.044,0.08,0.159,0.504,0.248,0.035,0.425,0.575
Seq_1332,0.086,0.258,0.472,0.017,0.047,0.086,0.498,0.15,0.004,0.579,0.421
Seq_1333,0.089,0.291,0.44,0.028,0.06,0.089,0.511,0.184,0.011,0.589,0.411
Seq_1334,0.11,0.252,0.469,0.043,0.067,0.11,0.583,0.205,0.055,0.484,0.516
Seq_1335,0.116,0.202,0.488,0.062,0.085,0.116,0.45,0.248,0.008,0.597,0.403
Seq_1336,0.154,0.19,0.478,0.07,0.112,0.154,0.467,0.287,0.027,0.516,0.484
Seq_1337,0.117,0.224,0.49,0.066,0.055,0.117,0.483,0.217,0.041,0.472,0.528
Seq_1338,0.078,0.13,0.468,0.0,0.039,0.078,0.468,0.104,0.039,0.506,0.494
Seq_1339,0.131,0.201,0.48,0.039,0.083,0.131,0.476,0.188,0.048,0.445,0.555
Seq_1340,0.118,0.218,0.497,0.047,0.109,0.118,0.476,0.191,0.019,0.474,0.526
Seq_1341,0.114,0.174,0.548,0.062,0.065,0.114,0.519,0.194,0.021,0.555,0.445
Seq_1342,0.141,0.254,0.403,0.036,0.133,0.141,0.367,0.274,0.02,0.512,0.488
Seq_1343,0.145,0.254,0.403,0.036,0.133,0.145,0.367,0.278,0.02,0.512,0.488
Seq_1344,0.124,0.274,0.416,0.009,0.071,0.124,0.478,0.186,0.15,0.575,0.425
Seq_1345,0.194,0.152,0.4,0.018,0.073,0.194,0.364,0.248,0.024,0.43,0.57
Seq_1346,0.127,0.186,0.522,0.022,0.068,0.127,0.503,0.177,0.043,0.497,0.503
Seq_1347,0.125,0.206,0.524,0.06,0.081,0.125,0.532,0.222,0.04,0.5,0.5
Seq_1348,0.133,0.21,0.516,0.056,0.077,0.133,0.532,0.214,0.04,0.488,0.512
Seq_1349,0.101,0.291,0.43,0.089,0.139,0.101,0.481,0.253,0.089,0.506,0.494
Seq_1350,0.107,0.174,0.553,0.039,0.057,0.107,0.532,0.194,0.046,0.55,0.45
Seq_1351,0.086,0.185,0.651,0.059,0.179,0.086,0.599,0.164,0.037,0.503,0.497
Seq_1352,0.156,0.252,0.416,0.044,0.092,0.156,0.452,0.252,0.048,0.424,0.576
Seq_1353,0.111,0.217,0.515,0.111,0.048,0.111,0.521,0.263,0.025,0.545,0.455
Seq_1354,0.145,0.206,0.427,0.028,0.097,0.145,0.431,0.226,0.036,0.435,0.565
Seq_1355,0.134,0.149,0.478,0.0,0.097,0.134,0.41,0.172,0.022,0.44,0.56
Seq_1356,0.146,0.206,0.503,0.052,0.079,0.146,0.507,0.231,0.046,0.472,0.528
Seq_1357,0.151,0.183,0.525,0.065,0.101,0.151,0.518,0.241,0.025,0.428,0.572
Seq_1358,0.117,0.258,0.472,0.12,0.064,0.117,0.494,0.273,0.04,0.58,0.42
Seq_1359,0.105,0.268,0.457,0.102,0.067,0.105,0.473,0.256,0.042,0.581,0.419
Seq_1360,0.141,0.254,0.434,0.039,0.059,0.141,0.444,0.2,0.034,0.424,0.576
Seq_1361,0.134,0.228,0.508,0.055,0.063,0.134,0.531,0.213,0.055,0.516,0.484
Seq_1362,0.162,0.186,0.455,0.048,0.097,0.162,0.472,0.262,0.034,0.407,0.593
Seq_1363,0.146,0.173,0.505,0.043,0.103,0.146,0.485,0.229,0.03,0.482,0.518
Seq_1364,0.163,0.205,0.456,0.058,0.088,0.163,0.466,0.263,0.038,0.46,0.54
Seq_1365,0.144,0.181,0.474,0.037,0.107,0.144,0.46,0.233,0.028,0.526,0.474
Seq_1366,0.215,0.31,0.328,0.039,0.085,0.215,0.396,0.285,0.067,0.454,0.546
Seq_1367,0.152,0.134,0.554,0.056,0.113,0.152,0.494,0.221,0.03,0.489,0.511
Seq_1368,0.122,0.207,0.48,0.047,0.089,0.122,0.486,0.22,0.045,0.504,0.496
Seq_1369,0.124,0.217,0.477,0.063,0.032,0.124,0.436,0.225,0.034,0.546,0.454
Seq_1370,0.106,0.179,0.528,0.077,0.098,0.106,0.524,0.203,0.037,0.504,0.496
Seq_1371,0.134,0.239,0.418,0.037,0.104,0.134,0.455,0.216,0.007,0.455,0.545
Seq_1372,0.088,0.206,0.459,0.018,0.112,0.088,0.429,0.165,0.018,0.518,0.482
Seq_1373,0.136,0.249,0.407,0.079,0.045,0.136,0.431,0.271,0.058,0.517,0.483
Seq_1374,0.13,0.146,0.481,0.049,0.124,0.13,0.454,0.222,0.032,0.438,0.562
Seq_1375,0.075,0.111,0.755,0.051,0.142,0.075,0.676,0.146,0.012,0.439,0.561
Seq_1376,0.148,0.245,0.432,0.045,0.097,0.148,0.432,0.245,0.032,0.465,0.535
Seq_1377,0.148,0.252,0.426,0.052,0.097,0.148,0.432,0.252,0.032,0.471,0.529
Seq_1378,0.148,0.245,0.439,0.045,0.103,0.148,0.452,0.239,0.032,0.452,0.548
Seq_1379,0.133,0.255,0.433,0.051,0.094,0.133,0.445,0.226,0.049,0.505,0.495
Seq_1380,0.135,0.161,0.558,0.052,0.06,0.135,0.53,0.193,0.036,0.536,0.464
Seq_1381,0.104,0.246,0.519,0.052,0.09,0.104,0.502,0.185,0.049,0.535,0.465
Seq_1382,0.054,0.228,0.53,0.054,0.094,0.054,0.497,0.148,0.027,0.523,0.477
Seq_1383,0.111,0.199,0.559,0.055,0.063,0.111,0.541,0.192,0.035,0.546,0.454
Seq_1384,0.164,0.181,0.431,0.009,0.086,0.164,0.397,0.241,0.034,0.379,0.621
Seq_1385,0.171,0.147,0.45,0.07,0.078,0.171,0.426,0.26,0.031,0.407,0.593
Seq_1386,0.131,0.149,0.574,0.066,0.089,0.131,0.534,0.226,0.037,0.523,0.477
Seq_1387,0.176,0.144,0.505,0.054,0.095,0.176,0.482,0.261,0.041,0.378,0.622
Seq_1388,0.167,0.167,0.491,0.05,0.095,0.167,0.464,0.248,0.036,0.369,0.631
Seq_1389,0.135,0.168,0.579,0.033,0.066,0.135,0.533,0.183,0.041,0.53,0.47
Seq_1390,0.161,0.216,0.475,0.054,0.083,0.161,0.476,0.245,0.054,0.482,0.518
Seq_1391,0.162,0.197,0.48,0.02,0.071,0.162,0.495,0.202,0.04,0.379,0.621
Seq_1392,0.156,0.126,0.545,0.07,0.073,0.156,0.512,0.246,0.023,0.458,0.542
Seq_1393,0.124,0.204,0.52,0.04,0.092,0.124,0.48,0.207,0.046,0.509,0.491
Seq_1394,0.162,0.256,0.433,0.068,0.075,0.162,0.502,0.268,0.059,0.494,0.506
Seq_1395,0.194,0.22,0.414,0.034,0.071,0.194,0.448,0.265,0.075,0.489,0.511
Seq_1396,0.152,0.136,0.539,0.025,0.033,0.152,0.547,0.202,0.053,0.498,0.502
Seq_1397,0.127,0.204,0.498,0.06,0.125,0.127,0.494,0.24,0.035,0.496,0.504
Seq_1398,0.11,0.239,0.493,0.05,0.085,0.11,0.485,0.202,0.022,0.475,0.525
Seq_1399,0.097,0.256,0.493,0.065,0.078,0.097,0.496,0.205,0.049,0.52,0.48
Seq_1400,0.128,0.203,0.483,0.068,0.085,0.128,0.472,0.225,0.047,0.507,0.493
Seq_1401,0.123,0.234,0.48,0.057,0.09,0.123,0.516,0.234,0.082,0.533,0.467
Seq_1402,0.132,0.163,0.537,0.052,0.095,0.132,0.521,0.212,0.052,0.475,0.525
Seq_1403,0.152,0.178,0.477,0.035,0.079,0.152,0.481,0.224,0.054,0.442,0.558
Seq_1404,0.125,0.186,0.511,0.047,0.063,0.125,0.493,0.219,0.031,0.552,0.448
Seq_1405,0.114,0.287,0.472,0.113,0.043,0.114,0.478,0.279,0.06,0.55,0.45
Seq_1406,0.116,0.178,0.529,0.043,0.069,0.116,0.501,0.203,0.034,0.555,0.445
Seq_1407,0.131,0.229,0.483,0.067,0.085,0.131,0.481,0.211,0.054,0.483,0.517
Seq_1408,0.121,0.194,0.547,0.136,0.055,0.121,0.531,0.275,0.032,0.555,0.445
Seq_1409,0.147,0.155,0.525,0.072,0.117,0.147,0.502,0.234,0.045,0.464,0.536
Seq_1410,0.135,0.191,0.514,0.063,0.056,0.135,0.511,0.228,0.04,0.534,0.466
Seq_1411,0.154,0.214,0.495,0.09,0.084,0.154,0.509,0.275,0.045,0.481,0.519
Seq_1412,0.146,0.266,0.405,0.038,0.089,0.146,0.456,0.234,0.076,0.494,0.506
Seq_1413,0.152,0.211,0.426,0.049,0.083,0.152,0.426,0.23,0.025,0.471,0.529
Seq_1414,0.106,0.17,0.617,0.021,0.17,0.106,0.617,0.128,0.064,0.362,0.638
Seq_1415,0.127,0.174,0.548,0.065,0.125,0.127,0.501,0.208,0.033,0.493,0.507
Seq_1416,0.117,0.162,0.577,0.061,0.085,0.117,0.551,0.213,0.035,0.566,0.434
Seq_1417,0.164,0.179,0.47,0.039,0.114,0.164,0.46,0.239,0.036,0.447,0.553
Seq_1418,0.149,0.224,0.418,0.03,0.09,0.149,0.448,0.201,0.022,0.463,0.537
Seq_1419,0.155,0.177,0.491,0.033,0.069,0.155,0.466,0.206,0.039,0.43,0.57
Seq_1420,0.202,0.162,0.485,0.091,0.101,0.202,0.475,0.323,0.081,0.394,0.606
Seq_1421,0.12,0.257,0.448,0.093,0.075,0.12,0.453,0.236,0.034,0.566,0.434
Seq_1422,0.165,0.207,0.465,0.109,0.058,0.165,0.5,0.292,0.039,0.485,0.515
Seq_1423,0.109,0.152,0.63,0.022,0.152,0.109,0.674,0.13,0.022,0.457,0.543
Seq_1424,0.131,0.185,0.478,0.043,0.052,0.131,0.488,0.211,0.007,0.564,0.436
Seq_1425,0.116,0.192,0.529,0.023,0.128,0.116,0.512,0.174,0.047,0.39,0.61
Seq_1426,0.151,0.214,0.406,0.027,0.079,0.151,0.433,0.226,0.029,0.441,0.559
Seq_1427,0.174,0.165,0.488,0.025,0.087,0.174,0.446,0.231,0.033,0.483,0.517
Seq_1428,0.177,0.205,0.443,0.045,0.076,0.177,0.443,0.258,0.038,0.464,0.536
Seq_1429,0.134,0.25,0.471,0.081,0.065,0.134,0.458,0.246,0.036,0.588,0.412
Seq_1430,0.12,0.247,0.484,0.102,0.068,0.12,0.462,0.255,0.041,0.592,0.408
Seq_1431,0.105,0.159,0.49,0.062,0.086,0.105,0.45,0.216,0.029,0.525,0.475
Seq_1432,0.181,0.218,0.429,0.05,0.077,0.181,0.488,0.255,0.042,0.442,0.558
Seq_1433,0.112,0.178,0.541,0.053,0.044,0.112,0.538,0.216,0.038,0.562,0.438
Seq_1434,0.183,0.251,0.376,0.053,0.047,0.183,0.402,0.271,0.027,0.55,0.45
Seq_1435,0.152,0.253,0.399,0.032,0.095,0.152,0.443,0.241,0.076,0.481,0.519
Seq_1436,0.155,0.189,0.537,0.062,0.113,0.155,0.542,0.237,0.054,0.446,0.554
Seq_1437,0.088,0.186,0.593,0.088,0.088,0.088,0.566,0.204,0.027,0.602,0.398
