ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
Seq_2613,42.77,0.00,38.19,26.62,31.57,46.42,38.27,18.09,35.02,9.56,51.37,17.92,35.01,27.38,40.74,32.22,41.96,37.77,157.45,48.44
Seq_2614,30.01,96.98,45.59,27.79,50.83,20.39,67.58,32.29,34.00,28.06,140.06,20.05,74.43,50.18,61.88,25.84,30.53,33.51,67.84,36.66
Seq_2615,21.13,0.00,27.23,32.47,25.22,18.17,42.46,21.81,20.47,18.00,94.68,53.07,53.58,31.31,48.24,14.23,53.04,15.20,0.00,77.60
Seq_2616,34.83,67.56,24.67,27.38,31.09,18.08,44.35,41.03,52.57,20.60,269.00,97.16,24.43,50.50,25.93,38.97,20.50,25.11,63.71,44.84
Seq_2617,17.75,282.11,45.14,28.59,61.25,22.98,318.47,27.95,23.10,17.80,41.31,82.32,45.58,41.52,34.61,44.75,37.50,20.10,408.29,140.73
Seq_2618,8.03,129.70,31.29,26.73,74.33,27.21,60.25,310.14,185.81,12.83,136.05,115.44,34.92,92.87,21.21,67.46,26.69,19.79,96.06,144.00
Seq_2619,24.52,84.25,32.03,26.22,77.96,20.01,80.10,49.38,56.79,27.49,76.03,47.63,59.46,45.56,18.56,42.00,20.52,31.23,50.50,28.27
Seq_2620,13.18,83.37,32.55,29.41,183.13,35.37,52.91,29.42,56.33,17.56,26.69,56.61,37.38,150.85,18.11,24.16,27.53,15.17,208.38,67.65
Seq_2621,14.29,157.15,33.36,25.90,34.13,22.43,117.97,49.32,53.27,12.43,57.08,145.55,18.10,23.10,28.50,51.14,46.76,27.13,93.34,43.47
Seq_2622,36.53,73.98,22.13,27.60,38.40,35.90,49.36,45.97,35.43,13.38,62.31,75.72,28.95,44.74,50.57,28.61,28.44,38.45,66.22,52.60
Seq_2623,19.05,51.15,26.92,20.15,41.92,33.78,47.98,50.03,38.84,23.79,128.35,77.50,38.85,22.71,20.81,20.80,25.88,39.19,109.59,126.44
Seq_2624,62.30,77.49,28.68,12.76,25.94,41.25,46.26,11.84,14.83,17.68,58.00,18.66,53.46,32.13,49.46,40.00,27.42,30.08,110.75,24.64
Seq_2625,33.16,82.62,23.36,21.32,22.43,24.87,50.37,34.99,21.68,16.89,78.77,20.68,35.74,45.31,22.61,24.00,36.46,20.85,50.87,46.79
Seq_2626,16.24,148.81,39.15,31.93,35.75,27.14,92.95,83.22,110.16,16.77,120.60,67.69,31.66,48.03,26.25,28.60,41.91,26.29,55.71,38.35
Seq_2627,18.86,149.00,36.78,32.82,126.11,21.63,95.07,37.91,43.09,21.33,90.10,88.97,21.85,44.59,26.96,31.58,31.82,27.78,82.00,150.48
Seq_2628,30.99,59.00,33.77,16.74,29.68,29.07,112.41,22.04,29.14,20.84,48.28,31.82,46.25,60.82,32.15,24.16,32.69,45.23,83.92,49.46
Seq_2629,30.99,64.85,33.68,16.73,29.89,27.96,100.54,24.88,24.75,21.65,46.65,37.44,43.74,78.33,34.06,28.09,32.16,42.05,83.92,50.92
Seq_2630,33.54,113.68,27.89,18.17,34.88,29.03,69.74,27.33,28.31,17.00,76.55,23.34,34.00,75.76,19.63,44.03,35.82,31.92,110.03,52.15
Seq_2631,52.59,113.68,27.96,18.15,34.88,29.08,87.37,27.33,28.31,17.00,76.55,23.06,34.00,75.76,19.63,53.02,35.82,31.92,110.03,52.15
Seq_2632,22.40,0.00,18.27,20.64,45.62,46.13,109.37,19.88,9.40,20.84,72.87,31.30,47.92,39.43,25.28,12.02,44.04,37.94,0.00,61.46
Seq_2633,16.54,22.84,30.25,29.26,106.74,20.14,59.52,34.15,58.86,15.88,62.67,68.79,57.06,22.59,51.30,15.15,26.30,32.10,115.48,52.51
Seq_2634,35.57,174.65,29.20,22.58,34.69,42.43,71.14,17.42,21.89,16.48,84.00,34.06,47.53,45.20,32.39,30.70,99.70,34.19,94.30,29.21
Seq_2635,17.48,0.00,42.13,15.67,44.41,15.69,67.67,24.37,72.22,9.60,96.72,189.29,41.16,56.02,18.67,55.46,31.10,26.10,0.00,78.56
Seq_2636,15.23,235.70,24.85,13.69,89.01,40.05,67.75,38.76,36.86,13.26,142.26,58.53,154.76,181.00,14.81,32.72,37.61,14.36,282.75,106.01
Seq_2637,26.68,89.55,19.88,24.51,49.11,29.48,40.24,37.37,112.36,13.85,178.39,42.81,58.98,37.65,21.92,20.28,38.10,23.81,58.11,91.01
Seq_2638,38.69,0.00,26.14,22.23,32.04,18.10,174.19,24.37,18.07,23.98,117.02,51.09,45.57,117.36,31.20,36.69,37.25,20.42,64.38,32.24
Seq_2639,25.74,303.10,38.68,19.18,224.85,47.94,178.98,91.67,39.65,29.96,189.02,81.45,17.46,29.31,31.65,20.26,24.00,22.66,595.36,514.35
Seq_2640,29.01,0.00,18.19,23.96,32.74,26.58,72.17,38.17,13.19,12.27,26.43,21.70,39.45,27.25,38.17,24.43,19.57,22.66,44.17,22.01
Seq_2641,10.34,46.25,34.20,19.50,34.29,29.65,40.43,22.51,18.18,23.27,63.57,46.09,52.83,43.25,56.23,27.69,39.21,20.76,0.00,30.85
Seq_2642,27.28,281.73,31.63,20.48,28.48,21.59,54.96,27.20,29.69,25.48,94.07,38.23,40.04,63.05,36.81,37.86,23.56,17.90,83.96,42.18
Seq_2643,22.80,99.75,20.97,20.19,20.56,27.43,36.92,36.09,34.32,16.67,51.39,37.37,39.91,37.79,33.41,33.71,29.13,31.18,84.75,31.37
Seq_2644,39.71,86.27,34.06,27.47,35.37,37.61,115.41,34.29,29.56,16.10,66.27,42.19,62.47,55.57,38.07,19.65,35.61,26.63,242.24,45.12
Seq_2645,42.65,84.68,33.74,27.07,35.65,40.76,103.47,33.16,31.97,14.91,78.26,38.03,64.03,57.25,33.32,20.26,38.89,27.35,242.02,48.95
Seq_2646,25.45,108.34,27.67,28.05,59.38,24.55,48.92,49.50,34.24,17.60,45.55,38.69,37.94,25.04,33.10,35.13,31.12,14.55,140.53,63.45
Seq_2647,34.96,97.76,30.03,19.83,72.49,36.62,69.95,37.57,17.76,25.36,99.05,34.42,54.04,56.05,35.56,21.80,35.92,32.39,145.85,67.52
Seq_2648,24.77,65.25,25.18,28.84,96.29,36.62,54.81,51.92,51.68,17.08,64.26,41.65,34.81,45.94,50.73,17.33,40.01,23.07,163.02,92.53
Seq_2649,21.65,351.31,30.65,15.92,58.86,27.66,98.85,16.27,25.30,24.35,65.99,78.54,33.61,172.84,31.77,36.91,28.60,15.96,215.66,93.12
Seq_2650,26.32,84.40,28.84,23.44,68.46,22.94,70.50,62.60,32.56,23.11,59.82,42.52,89.30,31.38,23.79,21.90,31.58,39.13,39.45,117.79
Seq_2651,28.08,157.94,21.25,25.96,28.47,28.16,65.25,41.82,92.08,23.61,74.46,39.59,25.62,59.98,22.51,52.27,30.32,23.32,49.92,37.14
Seq_2652,50.89,215.66,18.82,18.34,40.12,32.86,66.40,18.13,24.36,32.67,119.69,37.98,136.93,44.80,53.20,20.66,29.35,18.83,363.58,55.84
Seq_2653,26.84,176.08,22.00,21.75,44.04,35.91,118.64,22.37,22.51,16.83,76.59,59.97,35.63,31.75,27.51,57.40,40.91,22.23,0.00,61.69
Seq_2654,50.95,258.04,39.07,13.83,35.60,45.77,92.94,14.59,24.53,18.15,169.00,31.17,50.77,46.47,32.99,24.17,54.82,23.03,314.65,71.00
Seq_2655,23.57,72.20,23.44,35.01,45.90,40.87,42.15,40.87,26.01,26.12,78.13,30.57,52.07,52.92,28.35,22.51,37.99,30.97,157.93,53.53
Seq_2656,21.64,0.00,32.67,34.20,65.01,38.62,132.83,46.20,57.07,9.95,78.88,139.71,30.56,81.09,30.63,55.58,28.14,15.58,120.01,40.88
Seq_2657,30.89,137.54,28.68,15.57,52.51,15.22,126.19,25.17,14.09,22.34,51.93,110.06,33.40,44.58,23.07,29.81,20.21,14.50,0.00,38.35
Seq_2658,11.35,0.00,0.00,29.15,15.59,12.16,0.00,11.58,24.06,6.48,32.03,0.00,25.21,0.00,30.15,0.00,14.61,6.17,17.79,21.32
Seq_2659,26.88,298.27,20.46,35.49,23.28,28.39,45.34,43.83,47.16,28.99,88.49,44.36,29.17,32.00,19.67,45.87,36.28,25.65,67.21,38.72
Seq_2660,26.30,0.00,24.69,23.93,71.57,32.23,126.15,21.88,26.96,16.16,56.52,41.76,42.39,52.97,31.63,29.80,35.68,24.22,0.00,76.93
Seq_2661,60.11,86.48,32.17,33.51,92.08,31.16,48.76,84.56,24.83,13.54,50.78,49.73,31.86,42.90,53.44,21.43,27.67,35.01,65.14,30.82
Seq_2662,13.09,148.00,56.05,21.59,39.47,12.87,136.56,31.61,37.25,23.26,39.20,54.29,62.34,64.13,29.99,59.05,32.50,12.62,34.96,22.18
Seq_2663,27.30,120.46,36.50,22.56,25.89,37.74,107.21,15.69,20.45,16.82,58.46,31.55,25.91,73.89,53.56,33.34,45.68,23.02,185.89,59.71
Seq_2664,28.80,51.08,27.35,37.56,44.49,28.45,67.86,24.08,28.31,18.06,66.96,75.61,45.67,57.71,69.69,27.54,43.37,24.34,122.60,26.98
Seq_2665,20.64,205.66,31.27,19.26,28.68,35.67,49.95,22.25,20.16,16.10,74.87,53.13,45.17,147.02,35.06,32.07,38.66,17.36,126.28,189.81
Seq_2666,26.05,135.79,33.69,25.46,90.20,26.16,70.73,26.96,25.33,20.69,58.98,184.50,36.53,41.24,29.36,32.92,52.44,34.18,398.07,65.91
Seq_2667,33.88,82.21,27.04,26.60,45.00,28.68,73.23,19.96,45.80,23.66,66.67,32.15,23.36,39.92,21.93,21.45,39.12,26.06,78.17,69.55
Seq_2668,61.88,157.58,21.04,29.29,25.11,29.52,53.57,15.11,20.06,21.79,59.82,20.44,69.19,41.65,31.46,18.94,53.39,33.14,94.47,47.52
Seq_2669,24.16,0.00,27.51,14.48,85.54,28.38,60.48,13.95,18.51,17.34,68.36,39.68,63.47,57.90,53.84,33.63,34.22,15.01,120.18,58.19
Seq_2670,16.26,41.66,38.17,19.76,26.02,32.99,51.99,0.00,23.82,15.85,42.09,71.01,42.95,61.26,46.68,20.32,17.09,44.12,139.92,34.12
Seq_2671,21.37,129.77,45.44,35.83,20.07,22.82,163.34,25.26,40.11,13.02,48.91,58.55,39.70,91.57,40.96,58.52,19.35,20.46,54.16,26.13
Seq_2672,20.16,107.26,47.56,33.90,72.36,24.46,83.97,59.70,54.24,15.00,102.47,74.73,34.54,35.60,32.35,24.16,38.78,21.60,167.35,96.74
Seq_2673,16.47,80.99,28.81,25.94,66.07,23.72,62.38,19.34,18.11,19.54,77.66,63.85,33.42,45.17,52.70,28.33,33.20,23.04,132.68,62.33
Seq_2674,52.28,128.05,33.05,21.27,22.06,19.25,71.50,28.55,30.51,15.09,50.25,52.83,36.17,81.99,23.86,21.81,30.61,22.39,93.00,81.80
Seq_2675,15.80,170.53,19.25,72.90,48.59,18.03,108.38,56.13,19.68,21.99,110.81,27.06,37.80,87.03,80.53,29.58,23.04,16.36,216.00,42.11
Seq_2676,32.22,0.00,48.33,11.58,42.46,28.38,45.13,23.40,31.53,11.93,46.70,23.88,30.39,21.04,22.51,18.50,25.60,25.51,77.29,57.34
Seq_2677,25.09,174.26,23.83,43.33,31.64,24.67,131.64,23.20,22.96,17.00,110.39,34.86,33.51,43.06,64.36,30.93,34.66,33.62,141.28,34.64
Seq_2678,23.26,85.55,32.48,45.11,36.84,23.86,62.69,37.48,19.00,22.33,59.16,53.73,35.84,49.91,43.46,23.01,26.65,11.93,54.66,48.42
Seq_2679,10.29,82.60,16.34,14.69,31.25,18.83,51.47,24.34,71.06,14.94,130.67,44.71,74.44,104.46,37.44,41.45,23.13,20.93,106.85,42.40
Seq_2680,45.13,271.73,37.41,40.55,33.32,33.71,277.69,13.27,41.02,11.77,57.98,38.89,69.77,88.86,48.49,28.79,41.77,21.00,193.63,84.61
Seq_2681,29.77,101.57,54.31,16.85,35.59,11.83,51.56,37.30,46.99,17.88,167.00,58.89,23.72,81.18,34.54,45.51,31.93,11.63,60.90,52.73
Seq_2682,16.75,25.56,35.65,35.54,91.70,37.15,72.59,38.54,48.83,31.15,74.00,55.11,22.93,23.99,24.56,18.08,53.33,43.84,151.04,148.75
Seq_2683,14.89,177.18,26.68,56.49,71.98,36.48,130.16,34.39,29.78,15.57,48.96,32.08,34.22,27.53,31.15,18.30,22.23,23.46,181.20,59.78
Seq_2684,42.00,164.03,35.10,29.74,21.93,23.03,72.00,35.63,31.36,16.21,83.20,53.75,34.88,42.19,18.85,26.81,35.43,29.04,308.15,52.43
Seq_2685,22.75,111.38,36.01,42.95,36.62,28.43,51.19,38.66,39.91,17.89,78.23,38.20,21.69,40.12,36.61,27.05,27.41,30.82,97.27,48.50
Seq_2686,23.57,63.12,33.55,28.20,74.21,18.62,85.65,34.29,70.93,15.47,54.98,35.61,40.94,40.31,25.88,32.36,40.13,40.85,207.79,40.37
Seq_2687,35.10,205.54,29.66,23.09,60.44,26.29,96.40,58.47,42.76,26.42,186.10,43.96,31.16,55.96,44.25,17.22,43.87,26.70,167.06,68.82
Seq_2688,15.50,101.28,42.11,20.82,47.17,37.94,121.71,29.11,57.05,19.33,61.06,38.90,55.59,31.12,33.64,22.60,31.71,34.04,159.99,87.06
Seq_2689,31.80,118.38,26.82,19.21,23.30,29.01,26.78,16.33,21.86,14.14,84.76,24.74,31.67,52.17,22.19,28.19,51.26,20.80,91.44,23.82
Seq_2690,63.26,42.91,30.69,26.03,28.57,40.71,41.84,14.89,18.86,13.96,59.55,20.26,68.42,40.66,77.32,19.74,43.14,24.12,63.80,28.91
Seq_2691,27.11,53.91,32.17,25.73,43.07,27.78,59.96,33.65,21.29,14.00,41.54,31.62,38.38,65.49,30.32,31.33,31.66,15.80,187.62,50.19
Seq_2692,31.12,75.15,19.05,21.69,92.47,90.24,56.62,52.32,27.93,28.50,109.03,26.60,54.18,50.21,24.46,17.46,57.90,30.44,163.75,39.54
Seq_2693,19.42,62.31,26.01,30.94,75.68,47.48,82.82,55.37,45.92,20.68,39.79,39.76,45.29,40.86,37.25,30.04,30.71,16.74,121.33,37.70
Seq_2694,22.06,0.00,39.65,15.63,35.04,16.48,34.35,37.16,82.89,10.12,33.78,51.40,28.94,75.67,13.49,30.23,58.52,16.28,48.04,49.42
Seq_2695,35.71,147.60,106.44,60.90,55.65,62.63,74.45,54.98,72.01,25.16,58.49,63.93,38.35,46.97,47.33,24.12,36.73,24.39,358.80,80.58
Seq_2696,41.50,141.71,33.49,23.67,69.90,31.96,66.45,37.42,18.17,24.01,97.23,49.49,51.35,44.49,40.16,21.95,29.58,38.30,108.48,50.32
Seq_2697,12.56,78.93,27.13,54.47,58.37,18.19,247.33,91.47,48.37,7.63,83.53,44.68,32.34,29.65,28.52,27.52,57.67,22.29,98.96,83.23
Seq_2698,20.55,84.20,29.19,38.32,34.72,27.53,44.25,57.89,27.92,15.21,112.62,42.14,45.39,47.89,45.35,27.56,36.72,24.74,125.43,50.52
Seq_2699,37.36,79.03,73.00,30.96,100.37,49.69,80.92,55.42,20.10,24.80,133.87,47.03,27.99,39.20,45.57,18.32,50.54,26.43,240.33,140.35
Seq_2700,33.47,362.33,29.04,36.94,73.43,52.25,76.04,68.55,59.03,37.15,153.02,41.13,23.21,31.44,39.34,15.43,37.04,29.03,232.93,161.62
Seq_2701,12.47,231.07,53.35,15.97,104.71,21.89,67.23,50.48,31.67,17.09,63.19,104.22,25.16,114.74,24.59,44.53,43.20,21.83,109.72,77.58
Seq_2702,30.71,43.16,17.52,33.96,31.94,46.38,34.29,22.11,26.63,27.35,60.72,28.82,22.13,47.59,36.08,20.34,68.36,26.81,46.18,19.45
Seq_2703,64.16,82.20,34.03,38.08,68.33,11.94,113.30,30.94,43.11,35.59,78.65,49.87,27.67,27.62,32.26,26.89,35.16,31.27,118.99,63.41
Seq_2704,34.75,73.44,39.01,55.81,88.66,22.57,70.11,31.88,36.03,34.56,98.10,48.73,42.89,31.97,50.58,29.60,20.61,31.92,79.93,60.10
Seq_2705,21.59,174.27,40.05,24.88,130.65,18.68,261.00,25.75,31.28,21.45,92.19,111.78,31.26,82.76,30.55,26.81,31.72,22.15,235.35,124.46
Seq_2706,28.24,83.48,32.22,25.43,35.18,22.38,66.59,30.05,34.52,19.42,49.49,30.04,35.42,35.66,32.14,36.75,29.04,23.96,125.41,38.46
Seq_2707,34.85,195.55,43.79,43.74,144.44,18.81,56.32,215.65,117.98,20.48,110.71,332.98,24.30,42.97,15.39,23.22,32.87,45.65,78.40,134.82
Seq_2708,13.74,73.18,29.47,33.48,48.29,18.80,74.78,26.32,36.43,27.01,33.05,67.79,37.82,53.29,26.57,47.58,41.05,14.51,0.00,81.34
Seq_2709,53.49,81.10,40.94,22.10,46.06,32.10,55.30,58.35,60.30,14.46,76.84,82.79,35.23,68.89,29.13,35.53,50.91,62.81,0.00,84.93
Seq_2710,41.26,86.56,38.94,19.84,59.82,26.72,89.89,37.30,23.36,15.66,59.43,39.40,73.72,35.78,58.76,27.50,25.30,47.55,130.63,54.06
Seq_2711,21.71,93.17,30.30,21.58,37.60,22.72,44.45,28.77,28.19,25.19,65.22,56.91,25.30,0.00,38.32,20.51,20.63,12.29,57.04,42.74
Seq_2712,73.11,49.21,18.93,42.70,37.93,22.90,40.89,43.12,30.52,11.33,96.89,52.10,32.02,38.58,40.99,36.20,20.46,21.42,99.18,51.14
Seq_2713,40.00,49.21,21.49,34.26,34.00,22.90,47.45,26.79,35.36,12.47,66.08,43.92,32.24,39.72,45.15,37.18,20.64,31.14,99.18,49.13
Seq_2714,10.50,48.04,30.63,16.46,21.31,17.88,41.51,40.48,56.04,10.99,49.69,94.86,61.39,18.70,42.24,41.47,84.11,58.30,0.00,46.99
Seq_2715,28.16,45.54,26.76,25.18,25.28,26.80,48.33,40.65,34.22,15.09,115.83,56.32,31.92,33.77,36.98,27.11,24.28,21.48,208.30,39.88
Seq_2716,30.60,98.91,32.26,30.69,52.46,31.17,101.97,24.36,39.79,15.47,67.61,38.44,49.63,73.60,33.40,25.12,35.77,32.95,81.34,42.26
Seq_2717,38.91,0.00,34.49,28.86,77.04,33.69,138.37,19.30,40.70,13.34,44.18,43.53,40.70,60.22,31.58,35.33,28.85,14.23,118.64,65.58
Seq_2718,25.53,63.68,29.39,32.84,52.58,67.72,44.26,23.30,21.83,22.00,102.85,27.06,88.19,68.45,42.86,35.00,30.62,23.29,119.61,46.64
Seq_2719,52.28,60.06,25.32,14.54,20.46,42.27,60.71,18.57,23.40,18.22,45.19,33.57,60.84,61.46,27.40,13.53,25.42,21.01,0.00,32.37
Seq_2720,23.57,68.56,24.06,27.75,48.77,17.35,57.64,24.96,57.56,20.54,64.72,58.42,29.27,99.70,35.91,25.95,44.61,16.02,105.69,58.01
Seq_2721,32.58,97.44,18.51,21.59,29.67,25.28,46.17,18.44,29.52,11.37,50.97,122.55,26.08,30.27,22.05,52.31,29.77,21.12,97.32,35.31
Seq_2722,41.72,75.75,28.64,25.29,30.13,35.91,64.74,28.52,28.64,22.12,79.39,27.53,79.89,23.64,41.65,13.04,30.23,30.12,217.49,45.36
Seq_2723,19.13,226.39,60.93,23.28,52.13,22.24,115.08,53.69,81.87,19.12,53.60,72.00,35.99,29.58,42.58,39.75,29.38,13.71,179.78,53.14
Seq_2724,22.62,181.95,22.01,15.57,29.63,39.67,64.57,26.72,25.08,17.68,152.46,47.46,36.41,41.86,50.37,38.84,29.91,41.27,92.62,33.83
Seq_2725,91.40,127.72,21.87,17.67,43.60,24.16,222.29,15.76,15.26,14.34,80.69,21.12,97.41,67.80,72.34,41.87,54.16,22.19,163.02,25.29
Seq_2726,18.47,0.00,31.50,40.05,46.79,19.51,73.68,28.84,33.08,16.36,61.71,65.92,32.23,52.26,48.63,18.83,26.45,26.56,100.40,122.21
Seq_2727,41.31,84.83,27.72,31.33,38.43,38.36,91.17,30.71,21.48,21.50,123.95,35.84,34.14,31.32,38.19,19.54,37.84,35.25,185.35,45.07
Seq_2728,16.27,147.97,30.16,25.71,61.37,19.54,92.00,21.42,19.87,30.38,32.11,73.66,36.67,114.61,25.67,74.17,46.59,14.93,218.69,138.67
Seq_2729,29.68,0.00,18.83,42.46,50.57,25.44,92.19,42.54,31.00,28.83,146.16,18.44,54.56,34.17,57.05,29.77,25.58,30.02,88.51,32.15
Seq_2730,23.91,121.51,38.15,14.75,35.28,21.53,127.38,14.98,13.84,16.76,64.22,30.78,47.75,86.06,31.11,59.65,50.35,18.19,181.84,52.61
Seq_2731,9.49,0.00,30.08,20.57,49.60,20.56,122.43,27.53,84.43,16.78,41.85,197.02,33.03,27.47,13.45,54.81,26.99,19.51,62.45,62.04
Seq_2732,11.25,64.52,30.19,25.28,33.59,10.85,31.01,25.97,54.87,28.26,83.41,0.00,18.31,24.69,25.68,38.02,20.98,17.37,21.18,125.10
Seq_2733,22.42,75.86,25.83,15.45,62.48,22.86,67.27,18.04,21.78,25.87,44.08,39.04,45.32,60.75,38.94,27.10,90.00,35.07,178.00,41.34
Seq_2734,17.28,74.52,67.82,78.60,29.43,13.41,94.93,13.41,72.88,21.79,29.68,57.72,64.57,53.25,90.34,25.67,31.97,18.84,55.48,59.75
Seq_2735,26.34,328.82,47.53,16.71,40.60,20.62,97.20,28.80,16.12,17.89,47.00,81.29,38.61,110.85,37.83,34.76,50.85,15.43,137.21,44.57
Seq_2736,19.93,111.27,47.49,21.52,42.27,21.07,64.27,27.25,30.04,21.82,137.92,31.73,30.91,26.54,29.99,26.79,32.92,21.62,0.00,125.53
Seq_2737,25.58,81.84,37.26,26.76,49.11,28.09,45.07,50.70,31.87,21.70,81.95,39.26,30.69,43.95,29.51,82.88,29.48,21.81,113.20,37.35
Seq_2738,38.24,0.00,38.67,15.73,29.76,38.79,118.51,13.73,17.45,21.74,66.09,35.16,45.13,90.08,34.28,24.43,29.69,28.33,175.22,31.08
Seq_2739,29.90,354.80,25.42,22.03,68.87,40.18,122.09,14.72,18.33,20.40,89.41,222.79,42.41,58.76,26.32,38.17,38.95,25.59,261.08,62.54
Seq_2740,22.57,64.38,25.03,20.23,31.05,16.38,115.90,19.45,30.12,36.64,51.46,26.29,28.70,43.68,42.26,64.28,31.31,22.12,81.44,56.16
Seq_2741,28.13,83.57,30.40,18.03,57.97,35.42,97.56,10.94,17.52,18.45,56.92,19.28,33.04,142.10,35.29,35.13,27.41,20.90,0.00,62.15
Seq_2742,10.88,128.53,32.77,29.25,34.62,13.32,131.00,36.87,41.49,23.40,66.43,37.74,45.34,50.93,24.74,89.32,31.15,14.98,0.00,117.87
Seq_2743,21.46,65.39,38.10,22.02,63.16,26.54,69.01,22.10,23.00,62.25,46.72,22.33,22.42,39.87,50.51,23.44,41.52,19.09,63.94,27.36
Seq_2744,16.99,90.09,25.75,22.86,24.76,28.76,45.54,31.31,17.42,14.57,51.57,48.34,55.23,110.53,27.76,24.86,27.14,22.27,0.00,67.20
Seq_2745,28.79,58.32,22.29,14.20,44.37,26.26,35.04,28.80,38.93,15.42,34.70,23.85,31.82,74.59,15.62,44.47,63.44,18.96,95.35,45.52
Seq_2746,14.10,11.08,14.46,38.96,21.49,20.67,24.84,46.85,18.84,12.66,71.01,27.21,26.96,20.09,20.25,26.42,37.94,22.35,0.00,41.67
Seq_2747,37.36,84.88,35.96,20.75,24.49,28.11,74.31,28.38,17.32,17.16,61.95,47.06,37.73,119.15,27.99,39.41,47.41,32.09,130.14,33.73
Seq_2748,19.31,132.89,26.83,20.31,39.07,23.18,41.97,23.55,21.40,31.86,145.71,26.74,27.59,37.88,29.50,23.41,34.13,27.76,90.69,42.34
Seq_2749,23.45,160.84,73.05,35.93,34.71,48.58,73.57,26.32,33.56,18.76,57.16,73.73,110.58,54.93,53.42,20.19,38.71,28.97,354.33,62.91
Seq_2750,44.80,80.72,23.10,30.31,24.49,35.41,65.28,34.86,28.58,12.01,75.32,82.87,29.09,30.26,22.32,32.10,35.25,23.34,130.32,65.64
Seq_2751,42.44,99.83,25.32,42.12,31.38,26.31,71.95,22.16,18.43,16.24,43.56,19.73,47.94,110.38,60.70,25.55,37.31,31.01,182.65,26.56
Seq_2752,19.03,88.49,28.08,25.05,26.44,24.21,63.84,26.19,21.48,16.34,122.85,73.41,40.50,50.87,28.41,40.40,40.57,20.60,73.13,68.29
Seq_2753,27.38,86.76,58.95,17.15,61.34,23.06,84.07,45.55,21.74,31.54,66.89,39.78,28.47,35.56,31.87,23.12,61.40,56.44,113.19,59.23
Seq_2754,25.85,62.20,35.76,34.38,36.23,33.14,69.63,32.27,32.31,15.73,73.90,43.23,44.45,38.11,25.67,30.24,24.45,20.95,110.59,62.49
Seq_2755,19.82,186.47,24.19,15.04,36.33,16.67,53.88,14.42,31.98,20.30,118.48,90.27,64.71,63.76,33.01,24.22,25.68,26.92,0.00,55.81
Seq_2756,28.27,97.32,43.12,21.93,53.20,22.67,68.83,32.68,25.79,26.12,73.62,21.53,72.42,40.83,49.78,25.25,50.58,25.05,76.54,37.77
Seq_2757,28.30,99.31,43.60,23.37,52.79,22.73,68.68,33.01,22.87,26.20,74.17,21.95,74.05,41.01,49.95,25.66,48.50,25.30,77.87,38.01
Seq_2758,26.84,98.96,45.00,27.27,55.55,23.49,69.16,33.37,22.51,25.26,57.91,17.38,75.27,59.92,67.09,29.68,38.91,27.32,77.58,36.85
Seq_2759,27.62,98.79,42.68,23.82,55.74,22.67,69.32,26.92,25.90,26.52,73.91,21.11,74.22,43.28,49.30,24.25,36.39,30.58,77.49,38.18
Seq_2760,26.01,98.98,34.32,23.59,51.73,22.42,69.09,34.08,26.38,27.33,73.74,20.92,75.55,40.82,47.24,25.77,35.37,26.17,77.63,38.40
Seq_2761,29.35,97.32,45.97,24.61,51.75,21.98,68.83,34.66,26.76,27.80,71.31,17.49,72.15,60.07,52.77,25.57,35.80,27.64,76.54,37.77
Seq_2762,15.04,156.33,29.94,30.65,32.05,17.91,60.46,17.97,31.08,19.15,58.33,98.19,35.64,33.79,28.17,31.63,68.76,36.55,138.93,56.56
Seq_2763,17.29,87.71,35.61,20.02,51.37,21.37,96.39,19.31,15.63,12.37,34.74,37.59,23.62,26.19,36.51,41.42,47.10,14.70,0.00,23.36
Seq_2764,22.88,49.17,23.43,37.77,16.14,44.33,36.75,30.23,36.10,21.64,45.13,34.93,34.93,37.16,55.77,42.35,35.12,18.03,52.14,27.12
Seq_2765,18.65,103.92,63.08,14.89,49.06,15.52,31.88,27.88,28.35,30.53,40.97,70.81,51.30,93.60,21.96,32.88,24.86,16.13,0.00,94.41
Seq_2766,16.15,162.73,24.64,15.63,39.79,20.63,0.00,13.73,13.40,16.37,95.45,27.62,80.11,133.18,43.80,48.00,35.53,24.06,0.00,82.67
Seq_2767,24.59,147.89,35.20,24.23,31.08,23.69,120.62,31.80,47.95,27.62,56.80,25.96,24.60,60.12,30.23,43.57,28.76,28.74,68.59,53.38
Seq_2768,20.76,49.91,17.49,22.90,40.47,11.99,52.84,15.53,17.34,21.44,92.33,39.84,42.24,31.77,51.63,51.19,43.44,21.42,82.45,40.92
Seq_2769,52.13,80.83,27.91,21.86,45.34,41.06,83.73,29.96,27.87,16.25,56.23,37.68,40.62,66.20,40.59,30.08,41.42,43.00,249.75,42.13
Seq_2770,22.59,327.64,33.26,19.22,33.81,16.84,113.53,27.20,17.91,18.58,82.67,66.35,40.40,79.73,50.24,45.49,39.07,19.74,128.60,162.82
Seq_2771,27.57,90.91,35.20,39.89,82.03,25.64,39.07,20.56,36.22,15.19,71.18,42.34,43.09,49.12,32.70,27.73,47.04,22.12,235.11,94.87
