ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_996,7.84,0.47,8.46,5.96,5.33,8.62,0.31,8.46,5.33,4.39,0.94,5.17,6.58,1.25,2.51,4.86,8.46,11.76,0.16,3.13
Seq_997,8.70,0.00,7.25,2.90,5.80,11.59,0.00,2.90,4.35,17.39,0.00,2.90,7.25,2.90,1.45,10.14,8.70,0.00,1.45,4.35
Seq_998,8.43,2.25,4.49,6.74,3.93,5.06,2.25,2.25,4.49,9.55,1.12,3.37,5.06,5.62,5.06,8.99,5.62,9.55,2.81,3.37
Seq_999,14.67,0.00,5.33,7.33,6.67,5.33,3.33,4.67,7.33,7.33,2.00,5.33,3.33,2.67,2.00,7.33,4.00,6.67,2.00,2.67
Seq_1000,1.54,12.31,6.15,7.69,1.54,3.08,3.08,7.69,12.31,4.62,0.00,7.69,3.08,6.15,3.08,4.62,6.15,6.15,3.08,0.00
Seq_1001,3.20,2.28,5.48,4.57,4.11,7.31,1.83,4.11,5.94,7.31,0.91,5.02,5.02,4.11,4.11,14.16,8.68,6.39,1.37,4.11
Seq_1002,9.35,0.00,4.07,3.66,3.25,5.69,1.22,6.91,4.07,11.38,1.22,6.50,4.47,4.47,4.88,8.54,7.72,6.91,0.41,5.28
Seq_1003,9.35,0.00,4.07,3.66,3.25,5.69,1.22,6.91,3.66,11.38,1.22,6.50,4.47,4.47,5.28,8.54,7.72,6.91,0.41,5.28
Seq_1004,9.54,0.00,2.90,3.32,4.15,7.05,0.41,8.30,5.81,9.54,1.66,5.81,2.49,3.73,2.49,12.45,8.30,6.64,0.41,4.98
Seq_1005,6.25,2.08,7.29,5.21,3.12,8.33,2.08,5.21,0.00,6.25,0.00,2.08,6.25,5.21,5.21,7.29,13.54,6.25,0.00,8.33
Seq_1006,7.46,1.49,6.72,8.21,3.73,4.48,3.73,3.73,3.73,9.70,5.22,3.73,2.24,4.48,6.72,9.70,3.73,6.72,1.49,2.99
Seq_1007,9.72,2.08,6.25,5.56,4.17,8.33,6.25,4.17,3.47,6.94,2.78,4.86,3.47,4.86,6.25,3.47,4.17,9.03,2.08,2.08
Seq_1008,17.98,2.25,8.99,6.74,3.37,13.48,2.25,6.74,4.49,5.62,1.12,6.74,2.25,4.49,1.12,0.00,1.12,5.62,2.25,3.37
Seq_1009,13.74,0.92,5.55,4.10,2.91,10.57,1.85,3.57,3.57,9.11,1.45,3.57,3.96,2.25,5.15,6.74,8.85,7.13,2.51,2.51
Seq_1010,7.87,2.30,4.59,7.54,3.28,6.56,2.62,6.89,3.61,5.90,1.64,6.23,3.28,6.23,5.57,6.89,4.92,6.23,1.31,6.56
Seq_1011,3.96,1.32,4.85,7.49,5.29,6.17,3.08,5.73,3.52,10.13,0.44,4.41,5.73,2.20,3.96,9.25,6.61,11.01,1.76,3.08
Seq_1012,8.09,2.31,2.89,6.36,3.47,5.78,3.47,2.89,6.94,9.25,1.16,4.62,5.20,3.47,4.05,10.40,4.62,8.67,2.89,3.47
Seq_1013,8.09,2.31,2.89,6.36,3.47,5.20,2.89,2.89,6.36,8.67,1.16,4.62,5.20,4.05,4.62,10.40,5.20,9.25,2.89,3.47
Seq_1014,7.83,2.61,8.70,4.35,4.35,13.04,2.61,4.35,6.96,2.61,3.48,3.48,6.09,1.74,2.61,2.61,8.70,8.70,1.74,3.48
Seq_1015,13.39,1.79,5.36,8.04,4.46,7.14,1.79,1.79,15.18,7.14,1.79,6.25,2.68,0.89,0.00,4.46,7.14,5.36,0.89,4.46
Seq_1016,7.78,1.20,5.69,6.59,1.80,11.38,2.40,5.69,3.29,5.39,1.20,2.69,5.69,4.49,7.78,4.79,5.99,8.08,2.99,5.09
Seq_1017,14.08,5.63,8.45,11.27,2.82,9.86,5.63,0.00,1.41,2.82,0.00,2.82,5.63,4.23,4.23,4.23,1.41,7.04,4.23,4.23
Seq_1018,7.65,3.28,9.29,6.01,6.56,6.01,1.64,3.28,6.01,6.56,2.19,4.92,2.73,3.83,7.10,6.01,4.37,6.56,2.19,3.83
Seq_1019,8.07,4.81,3.26,7.76,3.57,3.73,3.57,3.42,7.76,9.32,1.24,3.73,6.83,4.97,4.66,7.92,5.43,6.21,1.09,2.64
Seq_1020,9.36,1.17,2.63,4.68,10.82,9.65,2.34,4.68,0.88,11.70,2.34,4.09,4.39,3.22,4.39,5.56,5.56,6.14,4.09,2.34
Seq_1021,6.67,3.81,12.38,5.71,3.81,12.38,2.86,3.81,1.90,1.90,0.95,0.95,3.81,0.00,0.95,13.33,6.67,5.71,0.95,11.43
Seq_1022,2.51,0.84,8.37,5.44,4.18,5.44,2.93,4.60,12.13,6.28,3.35,10.04,2.51,2.09,1.26,7.11,5.86,7.11,0.42,7.53
Seq_1023,3.60,7.21,5.41,9.01,3.60,4.50,7.21,4.50,6.31,1.80,2.70,2.70,5.41,4.50,3.60,9.01,10.81,5.41,0.00,2.70
Seq_1024,9.43,0.00,0.00,13.21,9.43,5.66,3.77,1.89,1.89,7.55,0.00,3.77,3.77,0.00,1.89,13.21,9.43,9.43,3.77,1.89
Seq_1025,7.55,0.00,0.00,13.21,7.55,3.77,1.89,1.89,1.89,7.55,0.00,5.66,3.77,0.00,1.89,15.09,9.43,11.32,3.77,3.77
Seq_1026,12.96,0.00,11.30,5.65,4.98,12.62,0.66,2.66,3.32,7.97,2.99,2.66,1.66,1.00,2.33,6.98,6.98,7.64,0.33,5.32
Seq_1027,11.49,0.00,5.90,4.35,3.73,12.11,1.86,2.80,8.39,3.73,0.62,6.21,1.24,4.97,4.04,7.76,4.97,9.32,1.24,5.28
Seq_1028,6.30,5.04,4.62,2.52,2.52,9.66,1.68,5.04,3.78,6.30,2.10,6.30,3.78,3.78,3.36,16.39,3.36,7.14,1.68,4.62
Seq_1029,6.81,4.19,4.19,1.05,7.85,8.38,2.62,4.19,5.24,6.81,0.52,5.24,5.76,7.33,4.71,8.38,7.85,4.19,3.14,1.57
Seq_1030,16.29,0.45,6.79,1.81,4.07,9.50,4.07,4.98,3.17,7.69,2.71,4.52,4.98,4.07,2.71,5.43,6.33,6.79,1.81,1.81
Seq_1031,6.49,5.19,4.33,2.16,2.16,10.82,1.73,6.93,4.76,6.93,0.87,7.79,4.33,5.19,1.73,11.69,4.76,6.93,1.73,3.46
Seq_1032,6.80,11.65,4.85,4.85,2.91,6.80,0.00,4.85,4.85,3.88,0.00,6.80,4.85,2.91,5.83,12.62,8.74,3.88,0.00,2.91
Seq_1033,7.11,3.95,6.32,3.16,3.16,9.88,2.37,4.74,3.16,7.11,0.40,4.35,6.32,4.35,3.16,9.49,5.14,9.09,3.95,2.77
Seq_1034,6.23,1.11,4.89,5.12,4.12,5.45,3.89,6.56,6.90,10.12,1.45,3.56,6.90,6.45,4.45,5.34,7.12,5.45,2.11,2.78
Seq_1035,10.81,1.04,5.33,6.96,3.70,10.07,2.81,5.63,5.63,7.70,2.07,4.00,4.74,2.22,3.70,6.07,6.22,6.22,1.63,3.41
Seq_1036,9.54,1.66,4.98,6.64,3.32,7.47,3.73,3.32,4.98,9.13,3.32,3.32,9.13,2.49,5.39,5.81,2.90,5.81,1.24,5.81
Seq_1037,10.27,1.37,6.16,4.79,6.85,9.59,5.48,1.37,8.22,12.33,0.68,6.16,2.05,2.74,2.05,4.79,1.37,10.96,1.37,1.37
Seq_1038,10.50,0.50,5.50,9.00,4.00,4.00,5.50,4.50,8.00,10.50,1.00,6.00,1.00,3.50,4.50,6.00,7.00,2.50,0.50,6.00
Seq_1039,10.44,2.22,6.65,6.96,5.38,5.06,1.90,3.80,7.28,7.28,3.48,2.22,3.48,4.11,3.48,3.48,6.01,10.44,1.90,4.43
Seq_1040,7.89,0.72,6.81,5.38,2.51,10.75,3.94,5.38,2.15,6.81,1.79,7.53,3.23,3.94,3.23,7.17,5.38,7.53,3.23,4.66
Seq_1041,6.49,2.16,11.89,5.41,5.95,5.95,0.54,3.78,8.11,8.11,3.78,5.95,2.70,4.86,3.24,4.86,4.32,5.41,2.16,4.32
Seq_1042,15.76,0.30,5.76,3.33,2.73,10.00,3.64,2.42,2.12,7.88,3.33,3.64,6.97,3.03,3.03,5.15,6.36,9.70,1.52,3.33
Seq_1043,9.11,0.40,3.96,4.95,8.71,11.09,2.77,4.95,2.77,8.71,2.18,2.57,6.34,2.57,4.75,5.35,5.54,6.73,3.56,2.97
Seq_1044,20.41,0.68,4.76,2.04,2.72,13.61,3.40,5.44,7.48,7.48,3.40,2.04,2.04,4.76,2.04,6.80,0.68,6.80,1.36,2.04
Seq_1045,12.90,1.84,5.07,5.07,2.76,9.68,0.92,8.76,6.91,10.14,1.38,1.84,5.53,4.15,1.38,4.61,5.99,7.83,2.30,0.92
Seq_1046,9.55,2.26,6.28,7.54,4.77,6.78,1.76,7.29,6.53,6.28,2.01,4.52,4.27,1.51,4.02,5.78,4.27,7.54,0.25,6.78
Seq_1047,3.25,1.63,5.96,7.32,6.50,3.79,2.17,9.21,9.49,10.30,1.36,7.59,2.98,2.71,3.52,5.42,4.88,3.79,1.63,6.50
Seq_1048,5.27,1.40,5.27,6.20,4.81,7.75,2.95,5.74,5.74,10.08,2.64,4.96,4.96,2.48,4.65,6.51,7.13,6.20,1.24,4.03
Seq_1049,4.37,1.09,4.92,4.37,4.92,9.84,3.28,6.01,4.37,9.84,2.73,4.92,4.37,4.92,5.46,5.46,7.65,9.29,0.55,1.64
Seq_1050,3.72,3.10,3.72,4.95,3.10,5.26,1.86,3.10,6.19,6.50,1.24,4.02,10.53,3.72,4.02,11.15,9.60,9.91,1.55,2.79
Seq_1051,8.53,0.41,5.90,3.92,3.45,8.36,1.46,4.09,6.31,5.20,1.46,4.91,6.66,3.57,2.51,8.07,9.06,5.73,3.97,6.43
Seq_1052,5.61,1.56,4.36,8.10,4.98,4.98,2.49,10.59,5.61,8.10,2.80,3.74,7.79,2.49,4.98,8.41,3.43,5.61,0.31,4.05
Seq_1053,8.03,1.46,5.84,8.39,1.82,8.03,3.28,1.82,3.65,8.76,1.82,2.55,4.74,4.74,8.39,4.38,7.30,6.20,3.28,5.47
Seq_1054,12.66,0.00,4.11,5.70,3.48,9.49,2.53,2.53,5.70,9.18,1.90,2.85,5.06,5.70,4.11,5.06,5.70,9.49,1.58,3.16
Seq_1055,16.13,6.45,4.84,0.00,4.84,14.52,0.00,4.84,11.29,0.00,1.61,6.45,6.45,4.84,1.61,3.23,4.84,4.84,0.00,3.23
Seq_1056,2.63,15.79,2.63,2.63,2.63,10.53,2.63,2.63,15.79,2.63,5.26,5.26,7.89,2.63,5.26,5.26,2.63,5.26,0.00,0.00
Seq_1057,2.26,0.00,3.76,6.77,7.52,12.78,0.75,8.27,5.26,6.77,0.75,4.51,4.51,0.75,2.26,7.52,8.27,8.27,0.75,8.27
Seq_1058,5.93,1.69,7.63,9.32,5.93,5.08,5.08,5.08,12.71,5.93,2.54,4.24,4.24,0.85,1.69,3.39,4.24,7.63,2.54,4.24
Seq_1059,7.32,2.44,6.10,5.49,3.66,4.88,3.66,4.88,7.32,7.93,0.61,4.88,6.71,1.83,3.66,5.49,6.10,7.32,0.61,9.15
Seq_1060,6.65,1.33,7.76,7.76,3.99,5.10,3.55,7.32,9.98,7.10,2.00,3.10,5.10,2.66,5.32,5.99,3.33,5.76,1.33,4.88
Seq_1061,6.42,1.34,5.61,10.70,2.94,3.48,2.14,6.68,9.89,15.24,2.67,3.74,0.53,4.01,4.28,3.74,2.94,4.01,0.53,9.09
Seq_1062,11.11,0.00,2.78,0.00,4.63,12.04,3.70,4.63,0.93,15.74,3.70,3.70,6.48,1.85,2.78,3.70,4.63,10.19,5.56,1.85
Seq_1063,7.93,5.29,3.96,4.41,3.52,7.93,3.08,4.85,3.08,8.37,3.08,3.08,6.61,3.96,3.96,9.69,5.29,4.41,2.20,5.29
Seq_1064,5.16,1.34,6.88,9.37,4.40,5.74,1.91,6.88,11.28,9.75,2.68,4.02,2.29,4.40,3.63,7.46,3.06,5.93,0.76,3.06
Seq_1065,9.15,0.00,7.89,2.52,3.15,11.36,2.52,5.68,3.47,5.05,0.63,5.99,2.52,4.10,3.15,8.20,7.89,6.94,0.95,8.83
Seq_1066,5.41,3.15,7.21,4.05,1.80,9.46,3.15,4.95,4.50,10.36,0.00,8.11,4.50,3.15,4.05,7.66,4.95,9.46,1.35,2.70
Seq_1067,5.86,5.41,3.15,4.05,1.80,10.36,2.25,4.95,4.05,5.86,2.70,7.66,4.95,3.15,1.80,11.26,4.95,8.11,1.80,5.86
Seq_1068,5.86,5.41,2.70,4.05,1.80,10.36,2.25,4.95,4.05,5.86,2.70,8.11,4.95,3.15,1.80,10.81,5.41,8.11,1.80,5.86
Seq_1069,5.07,0.00,4.61,9.91,5.76,4.84,2.76,5.30,6.45,8.99,1.38,6.68,4.15,6.68,5.99,9.22,2.30,6.68,0.69,2.53
Seq_1070,12.50,0.96,6.73,1.92,2.88,8.65,3.85,1.92,0.00,8.65,1.92,0.96,12.50,3.85,10.58,4.81,9.62,3.85,0.96,2.88
Seq_1071,5.56,1.59,9.52,7.94,4.76,3.97,2.38,4.76,7.94,11.11,3.97,8.73,0.79,2.38,3.97,8.73,6.35,0.79,0.79,3.97
Seq_1072,5.34,1.25,4.63,7.92,2.22,7.83,1.60,8.90,8.63,9.16,2.40,4.98,5.43,5.52,4.27,4.72,4.18,5.25,2.31,3.47
Seq_1073,5.53,2.88,5.97,5.09,4.87,8.85,1.99,4.65,5.75,7.08,1.33,4.65,5.09,5.31,3.76,9.51,5.97,5.75,1.55,4.42
Seq_1074,5.44,2.84,6.15,5.20,4.02,7.09,3.31,6.15,5.44,6.15,2.13,3.55,6.15,4.02,2.84,9.69,6.62,5.91,3.07,4.26
Seq_1075,6.40,6.40,7.20,2.40,1.60,7.20,4.00,5.60,12.00,8.00,0.80,7.20,2.40,3.20,2.40,7.20,7.20,2.40,3.20,3.20
Seq_1076,8.65,0.38,6.39,5.64,3.76,7.89,1.13,6.77,9.40,7.89,1.88,3.01,7.89,1.88,2.63,7.89,4.89,6.77,1.13,4.14
Seq_1077,5.51,2.84,4.26,6.39,3.91,7.46,2.31,5.86,6.22,8.88,1.42,7.82,3.20,3.20,3.20,7.99,7.28,5.68,1.95,4.62
Seq_1078,5.48,0.55,5.21,4.38,2.74,7.95,1.37,3.29,7.95,7.95,1.37,4.66,9.04,3.56,3.01,7.40,7.40,7.12,3.01,6.58
Seq_1079,10.24,0.22,7.13,4.45,2.23,8.02,2.23,6.24,3.34,8.69,0.67,6.46,5.12,3.56,3.56,5.12,6.68,6.90,4.45,4.68
Seq_1080,8.70,0.62,2.48,3.11,4.97,12.42,0.62,6.83,3.11,13.66,0.00,2.48,8.07,3.11,2.48,7.45,6.83,6.21,1.86,4.97
Seq_1081,3.22,3.22,5.45,4.46,3.22,5.45,1.98,5.45,6.93,7.67,1.24,3.96,7.92,2.72,1.98,12.13,8.66,9.41,1.98,2.97
Seq_1082,9.30,6.20,5.43,1.55,2.33,9.30,0.78,3.88,5.43,6.20,1.55,10.85,1.55,2.33,7.75,7.75,5.43,5.43,4.65,2.33
Seq_1083,11.26,0.45,6.76,7.21,3.60,9.46,1.80,4.95,3.15,7.66,1.35,2.70,2.70,2.70,13.06,6.31,2.70,10.36,1.35,0.45
Seq_1084,7.34,9.17,7.34,7.34,3.67,8.26,8.26,3.67,8.26,1.83,2.75,1.83,4.59,3.67,5.50,6.42,1.83,5.50,0.92,1.83
Seq_1085,7.16,2.22,6.67,4.20,3.46,8.64,0.74,6.42,3.46,10.37,3.46,3.70,6.42,5.43,6.67,5.93,3.95,4.20,2.96,3.95
Seq_1086,3.35,0.00,9.09,3.83,5.74,4.31,1.91,9.09,9.57,6.22,0.48,7.66,2.39,2.39,2.87,9.57,6.22,7.18,0.96,7.18
Seq_1087,5.05,1.01,5.05,9.09,6.06,11.11,2.02,3.03,5.05,7.07,2.02,5.05,7.07,1.01,0.00,8.08,5.05,14.14,0.00,3.03
Seq_1088,9.21,1.01,6.70,3.85,3.85,8.54,1.68,4.52,5.53,8.71,2.18,4.69,6.87,3.85,2.85,6.87,6.53,6.03,2.01,4.52
Seq_1089,5.94,3.96,4.95,5.94,2.97,6.93,0.99,6.93,4.95,7.92,0.00,8.91,0.99,5.94,2.97,11.88,9.90,3.96,0.99,2.97
Seq_1090,9.52,1.40,5.60,7.28,1.68,7.84,2.52,3.36,2.80,8.40,1.68,2.24,4.20,6.16,8.40,7.00,6.72,5.88,3.08,4.20
Seq_1091,7.23,1.86,8.47,3.51,2.89,8.26,1.45,5.99,2.48,7.64,1.65,5.17,3.93,2.48,2.27,11.16,7.64,6.40,2.27,7.23
Seq_1092,8.76,10.95,5.11,0.73,2.19,6.57,1.46,8.03,3.65,5.11,1.46,8.03,5.84,2.92,2.92,7.30,8.76,2.92,0.73,6.57
Seq_1093,15.48,1.19,8.13,2.78,2.58,9.13,3.97,3.37,1.98,6.15,1.19,4.76,5.16,2.78,5.75,6.94,6.75,6.35,1.98,3.57
Seq_1094,6.70,1.96,6.70,5.87,3.63,4.47,3.63,7.82,6.42,12.29,2.51,5.31,5.59,3.35,5.31,4.47,3.91,3.91,0.84,5.31
Seq_1095,8.88,1.64,3.78,4.28,5.10,8.88,3.12,5.43,3.29,7.24,3.45,3.95,4.77,4.61,3.62,10.03,6.41,6.91,0.82,3.78
Seq_1096,6.86,1.58,5.80,6.86,3.43,6.33,2.90,6.86,5.54,11.35,2.64,3.43,5.80,4.49,6.07,4.75,5.01,4.75,0.79,4.75
Seq_1097,7.35,4.29,4.44,7.66,3.52,7.66,2.30,3.83,4.75,11.33,1.68,2.45,4.44,4.44,6.89,7.66,5.05,7.50,0.61,2.14
Seq_1098,8.91,1.69,3.69,3.99,4.76,9.68,3.23,5.07,2.92,7.22,3.23,3.84,5.38,4.45,4.30,9.52,6.45,6.91,1.08,3.69
Seq_1099,11.38,1.85,4.00,4.92,2.46,9.54,3.08,1.54,4.31,11.69,4.00,1.85,8.31,2.15,7.08,7.38,2.77,6.15,0.92,4.62
Seq_1100,6.32,0.57,3.45,5.75,2.30,5.75,4.60,5.17,6.90,14.37,0.57,5.75,1.72,5.75,3.45,7.47,6.32,6.32,1.15,6.32
Seq_1101,8.02,3.47,5.70,9.50,2.15,8.26,2.81,3.55,4.46,8.60,1.98,3.39,6.78,3.06,6.94,8.26,4.63,5.62,0.99,1.82
Seq_1102,8.68,3.08,3.36,6.72,3.08,9.80,2.80,5.32,6.72,9.52,2.52,3.92,6.72,1.68,4.20,5.60,4.20,9.24,0.56,2.24
Seq_1103,5.87,1.79,3.57,5.87,4.08,8.42,2.30,3.83,4.59,13.01,3.32,2.55,7.14,5.10,6.38,4.34,4.34,8.16,2.81,2.55
Seq_1104,13.22,1.65,5.79,7.16,3.58,9.37,2.20,3.03,3.31,10.19,2.75,1.65,3.31,4.96,5.23,8.54,4.13,5.79,0.28,3.86
Seq_1105,7.25,1.23,7.70,9.26,4.69,4.24,1.34,3.68,6.70,9.93,1.23,4.58,7.14,5.02,2.79,10.83,5.13,5.47,0.78,1.00
Seq_1106,10.69,0.94,4.72,7.86,2.83,5.97,3.14,2.52,2.83,11.01,3.77,3.14,4.40,6.92,6.92,7.86,5.97,4.72,1.89,1.89
Seq_1107,6.40,1.48,4.93,9.36,3.45,5.91,1.97,6.90,6.90,9.36,3.45,2.46,3.94,5.91,7.88,8.37,2.46,4.93,0.49,3.45
Seq_1108,9.89,2.56,5.49,12.45,2.20,4.76,2.93,3.66,10.62,8.06,4.03,2.20,4.40,4.40,6.23,3.30,3.66,5.13,1.10,2.93
Seq_1109,6.52,3.12,7.65,7.37,4.82,4.53,2.83,6.52,7.65,6.80,3.40,3.68,2.83,1.70,3.97,5.38,6.23,8.50,1.42,5.10
Seq_1110,10.77,1.93,5.80,8.01,5.80,5.25,2.76,6.91,9.39,7.46,2.21,4.14,3.87,4.42,3.31,4.42,5.25,5.25,0.55,2.49
Seq_1111,9.36,1.67,6.02,13.71,4.01,6.02,1.34,2.01,6.02,11.04,4.35,2.01,6.69,7.02,1.67,8.70,5.02,2.01,0.33,1.00
Seq_1112,7.96,1.75,6.69,6.85,3.66,10.19,2.39,3.34,7.32,6.85,2.07,3.34,7.17,3.34,3.50,7.17,5.73,4.78,1.59,4.30
Seq_1113,9.33,3.11,4.89,7.11,2.67,12.00,2.22,6.22,8.00,7.56,1.33,4.44,1.33,4.44,4.89,6.22,4.44,5.78,0.89,3.11
Seq_1114,6.37,1.96,7.35,8.33,5.39,7.84,1.47,5.88,6.37,5.88,2.94,0.98,2.94,8.33,7.84,3.92,4.90,7.35,0.49,3.43
Seq_1115,9.93,1.04,4.15,5.78,7.56,8.44,1.48,4.89,5.78,9.48,1.78,2.81,5.19,4.30,5.19,5.33,5.48,8.15,0.44,2.81
Seq_1116,15.05,1.46,3.88,6.07,3.16,8.50,1.46,6.31,5.34,10.44,3.88,2.43,4.13,4.13,5.10,6.07,5.34,3.64,1.46,2.18
Seq_1117,11.60,0.74,4.94,7.41,2.96,8.64,0.99,5.68,5.93,9.88,2.22,3.95,4.94,2.47,5.43,6.17,4.69,8.89,0.49,1.98
Seq_1118,7.83,0.97,6.33,6.22,2.79,7.08,2.04,3.97,4.08,10.41,1.18,5.04,6.33,4.29,4.51,8.48,6.44,8.37,0.54,3.11
Seq_1119,10.87,0.00,5.28,6.83,3.73,7.76,1.24,3.73,9.32,9.32,0.31,1.86,6.83,0.93,1.86,6.83,6.21,12.73,0.31,3.73
Seq_1120,10.91,1.52,5.58,8.38,2.79,5.08,2.54,4.57,6.35,6.09,1.27,2.28,6.35,3.55,10.15,9.39,2.28,6.60,0.51,3.81
Seq_1121,5.84,9.34,4.82,4.82,3.36,9.78,2.63,2.19,2.77,8.76,1.02,5.55,6.86,4.09,6.28,8.03,5.11,4.53,1.46,2.77
Seq_1122,7.98,6.19,4.19,8.18,3.79,6.19,3.19,3.79,6.19,10.18,2.20,2.59,4.99,3.79,6.59,7.39,3.79,5.99,0.80,2.00
Seq_1123,6.23,1.34,5.21,7.35,1.65,5.17,2.36,4.05,7.00,7.21,2.00,5.56,6.30,5.42,5.73,15.34,5.87,3.97,0.49,1.76
Seq_1124,8.38,1.80,2.40,2.99,5.99,5.39,2.40,3.59,4.19,10.78,2.99,5.39,4.79,6.59,4.19,16.77,3.59,4.79,0.60,2.40
Seq_1125,10.13,1.27,5.82,6.58,3.54,10.89,2.53,6.33,4.30,9.62,3.04,2.28,4.05,3.54,6.33,5.06,4.56,6.08,1.52,2.53
Seq_1126,8.63,1.33,4.87,7.74,2.21,9.07,3.10,5.53,6.42,11.50,2.65,2.21,5.97,2.65,5.75,2.88,7.08,7.74,0.44,2.21
Seq_1127,12.73,1.13,4.38,7.21,3.11,8.20,1.84,2.40,2.55,14.71,0.71,1.98,6.22,3.11,7.50,6.65,3.96,8.20,1.13,2.26
Seq_1128,5.80,0.45,7.14,7.14,3.57,6.25,2.23,4.91,15.62,8.04,0.89,4.46,5.36,3.12,2.23,6.25,6.25,6.70,1.79,1.79
Seq_1129,6.70,0.45,5.80,8.48,3.57,6.25,2.23,4.02,15.62,8.04,0.89,4.46,4.91,3.57,2.23,4.91,7.14,7.14,1.79,1.79
Seq_1130,12.64,0.77,3.07,4.98,3.45,10.73,1.15,6.90,4.60,8.81,1.92,4.98,4.98,4.60,4.60,3.83,5.75,11.11,0.00,1.15
Seq_1131,6.39,1.39,5.00,7.50,4.17,7.50,1.11,5.28,10.00,7.50,3.33,4.17,4.72,2.22,3.61,6.67,5.56,8.89,1.67,3.33
Seq_1132,6.27,1.33,5.04,7.98,2.85,5.70,2.57,5.51,5.99,9.51,3.23,3.42,6.56,5.13,5.89,7.70,4.85,5.51,1.33,3.61
Seq_1133,6.46,1.33,4.94,8.07,2.94,5.70,2.56,5.32,5.98,9.40,3.42,3.80,6.55,5.13,5.89,7.60,4.37,5.89,1.23,3.42
Seq_1134,6.12,1.70,7.14,3.74,7.48,7.48,2.04,4.08,5.78,6.46,3.40,3.74,4.42,4.42,5.44,6.12,5.44,5.44,3.40,6.12
Seq_1135,10.42,0.89,2.22,2.66,5.76,10.64,1.55,7.98,2.66,14.86,3.77,2.44,5.32,3.10,4.66,5.76,5.54,6.43,2.22,1.11
Seq_1136,6.93,0.68,5.43,4.48,4.48,9.51,1.90,2.85,4.48,7.34,1.49,7.88,7.47,6.39,3.94,6.66,6.79,4.89,2.04,4.35
Seq_1137,12.28,1.40,6.84,6.14,4.21,9.30,2.28,5.44,5.09,6.84,3.51,3.68,4.04,3.86,3.86,4.91,5.44,5.96,1.05,3.86
Seq_1138,10.15,0.00,6.62,8.61,3.09,7.06,1.99,7.06,3.97,10.60,2.87,2.87,4.42,3.75,9.05,4.64,4.86,7.28,0.44,0.66
Seq_1139,4.81,1.07,8.56,5.35,2.67,8.56,3.21,2.14,6.95,9.63,1.60,3.21,8.02,4.28,3.74,7.49,4.28,8.56,2.67,3.21
Seq_1140,6.06,1.52,10.61,4.55,3.03,7.58,0.76,9.09,10.61,3.03,6.06,3.03,1.52,3.03,3.79,6.82,9.85,6.06,1.52,1.52
Seq_1141,11.39,1.82,3.14,5.28,2.31,10.56,2.31,1.32,3.47,15.02,1.16,2.48,11.06,5.45,6.11,7.10,4.29,3.47,0.66,1.65
Seq_1142,6.58,1.52,3.80,9.37,4.56,6.58,2.53,2.78,3.54,12.41,2.78,2.03,5.82,5.82,6.33,8.10,3.80,4.81,1.77,5.06
Seq_1143,3.93,1.69,7.30,4.49,4.78,9.83,3.37,4.49,4.78,10.11,1.97,4.49,5.90,1.97,6.18,5.90,6.18,6.46,3.37,2.81
Seq_1144,4.08,0.00,6.12,13.27,5.10,3.06,1.02,4.08,13.27,13.27,2.04,3.06,2.04,4.08,5.10,6.12,6.12,6.12,1.02,1.02
Seq_1145,10.75,1.15,4.99,7.29,3.65,7.49,1.73,3.26,6.91,6.91,2.50,3.65,4.22,5.76,5.76,12.09,4.22,4.80,1.34,1.54
Seq_1146,3.63,2.59,10.36,8.81,7.25,3.11,0.52,8.81,7.77,6.74,4.15,6.74,3.63,3.11,4.15,8.29,3.63,4.15,0.00,2.59
Seq_1147,9.41,1.08,5.65,7.80,5.11,7.53,2.96,5.11,5.65,10.22,3.23,1.08,5.11,2.96,8.60,3.49,4.57,6.45,0.81,3.23
Seq_1148,5.69,2.21,5.69,7.11,4.58,5.69,3.00,5.21,5.53,9.64,2.21,4.74,6.32,3.63,5.06,7.42,3.79,6.32,2.21,3.95
Seq_1149,11.40,1.90,4.28,7.60,4.28,9.74,1.19,6.65,6.89,6.41,3.09,3.80,3.56,4.75,6.18,3.33,5.23,4.99,1.19,3.56
Seq_1150,8.78,3.04,6.08,6.76,3.38,4.73,0.68,4.39,5.07,12.50,2.36,1.35,5.74,5.41,7.09,7.09,5.41,6.08,1.69,2.36
Seq_1151,6.79,2.06,4.48,7.52,3.27,5.58,2.67,3.52,5.33,10.42,3.03,4.00,7.88,5.09,7.15,8.48,4.85,4.97,1.09,1.82
Seq_1152,9.80,0.65,5.88,9.15,4.58,5.23,0.65,2.61,3.92,9.15,2.61,3.27,9.15,1.31,8.50,7.19,3.27,7.19,2.61,3.27
Seq_1153,5.22,2.24,5.97,7.46,8.21,6.72,3.73,7.46,7.46,7.46,3.73,7.46,3.73,4.48,2.24,7.46,3.73,2.99,0.75,1.49
Seq_1154,6.87,2.44,3.51,5.95,5.34,4.89,2.14,5.95,4.12,9.01,2.90,4.27,5.95,2.44,6.41,9.47,7.94,5.95,0.76,3.66
